symbol,date,period,Revenue,OtherRevenueTotal,TotalRevenue,CostofRevenueTotal,GrossProfit,SellingGeneralAdminExpensesTotal,ResearchDevelopment,DepreciationAmortization,InterestExpenseIncomeNetOperating,UnusualExpenseIncome,OtherOperatingExpensesTotal,TotalOperatingExpense,OperatingIncome,InterestIncomeExpenseNetNonOperating,GainLossonSaleofAssets,OtherNet,IncomeBeforeTax,IncomeAfterTax,MinorityInterest,EquityInAffiliates,NetIncomeBeforeExtraItems,AccountingChange,DiscontinuedOperations,ExtraordinaryItem,NetIncome,PreferredDividends,IncomeAvailabletoCommonExclExtraItems,IncomeAvailabletoCommonInclExtraItems,BasicWeightedAverageShares,BasicEPSExcludingExtraordinaryItems,BasicEPSIncludingExtraordinaryItems,DilutionAdjustment,DilutedWeightedAverageShares,DilutedEPSExcludingExtraordinaryItems,DilutedEPSIncludingExtraordinaryItems,DividendsperShareCommonStockPrimaryIssue,GrossDividendsCommonStock,NetIncomeafterStockBasedCompExpense,BasicEPSafterStockBasedCompExpense,DilutedEPSafterStockBasedCompExpense,DepreciationSupplemental,TotalSpecialItems,NormalizedIncomeBeforeTaxes,EffectofSpecialItemsonIncomeTaxes,IncomeTaxesExImpactofSpecialItems,NormalizedIncomeAfterTaxes,NormalizedIncomeAvailtoCommon,BasicNormalizedEPS,DilutedNormalizedEPS
BFIN,2013-12-31,12 months ending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.30,3.30,NA,NA,3.30,NA,NA,NA,3.30,NA,3.30,3.30,NA,NA,NA,NA,20.03,0.16,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18
BFIN,2012-12-31,12 months ending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.11,-27.11,NA,NA,-27.11,NA,NA,NA,-27.11,NA,-27.11,-27.11,NA,NA,NA,0.00,19.89,-1.36,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34
BFR,2016-09-30,3 months ending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1528.83,932.92,NA,NA,932.92,NA,NA,NA,932.92,NA,932.92,932.92,NA,NA,NA,NA,536.88,1.74,NA,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74
BFR,2016-06-30,3 months ending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1850.07,963.26,NA,NA,963.26,NA,NA,NA,963.26,NA,963.26,963.26,NA,NA,NA,NA,536.88,1.79,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81
BFR,2016-03-31,3 months ending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1715.39,1165.08,NA,NA,1165.08,NA,NA,NA,1165.08,NA,1165.08,1165.08,NA,NA,NA,NA,536.88,2.17,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18
BFR,2015-12-31,3 months ending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1743.21,1188.26,NA,NA,1188.26,NA,NA,NA,1188.26,NA,1188.26,1188.26,NA,NA,NA,NA,536.88,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22
BFR,2015-09-30,3 months ending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1547.88,998.07,NA,NA,998.07,NA,NA,NA,998.07,NA,998.07,998.07,NA,NA,NA,NA,536.60,1.86,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87
BFR,2015-12-31,12 months ending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5834.96,3784.49,NA,NA,3784.49,NA,NA,NA,3784.49,NA,3784.49,3784.49,NA,NA,NA,NA,536.88,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.13
BFR,2014-12-31,12 months ending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4875.22,3204.50,NA,NA,3204.50,NA,NA,NA,3204.50,NA,3204.50,3204.50,NA,NA,NA,NA,536.88,5.97,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97
BFR,2013-12-31,12 months ending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3145.70,2024.24,NA,NA,2024.24,NA,NA,NA,2024.24,NA,2024.24,2024.24,NA,NA,NA,NA,536.88,3.77,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77
BFR,2012-12-31,12 months ending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2164.55,1299.87,-36.20,NA,1541.10,NA,NA,NA,1541.10,NA,1541.10,1541.10,NA,NA,NA,NA,536.88,2.87,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82
