symbol,date,period,Revenue,OtherRevenueTotal,TotalRevenue,CostofRevenueTotal,GrossProfit,SellingGeneralAdminExpensesTotal,ResearchDevelopment,DepreciationAmortization,InterestExpenseIncomeNetOperating,UnusualExpenseIncome,OtherOperatingExpensesTotal,TotalOperatingExpense,OperatingIncome,InterestIncomeExpenseNetNonOperating,GainLossonSaleofAssets,OtherNet,IncomeBeforeTax,IncomeAfterTax,MinorityInterest,EquityInAffiliates,NetIncomeBeforeExtraItems,AccountingChange,DiscontinuedOperations,ExtraordinaryItem,NetIncome,PreferredDividends,IncomeAvailabletoCommonExclExtraItems,IncomeAvailabletoCommonInclExtraItems,BasicWeightedAverageShares,BasicEPSExcludingExtraordinaryItems,BasicEPSIncludingExtraordinaryItems,DilutionAdjustment,DilutedWeightedAverageShares,DilutedEPSExcludingExtraordinaryItems,DilutedEPSIncludingExtraordinaryItems,DividendsperShareCommonStockPrimaryIssue,GrossDividendsCommonStock,NetIncomeafterStockBasedCompExpense,BasicEPSafterStockBasedCompExpense,DilutedEPSafterStockBasedCompExpense,DepreciationSupplemental,TotalSpecialItems,NormalizedIncomeBeforeTaxes,EffectofSpecialItemsonIncomeTaxes,IncomeTaxesExImpactofSpecialItems,NormalizedIncomeAfterTaxes,NormalizedIncomeAvailtoCommon,BasicNormalizedEPS,DilutedNormalizedEPS
AXON,2016-09-30,3 months ending,NA,NA,0.00,NA,NA,9.45,32.07,NA,NA,NA,NA,41.52,-41.52,NA,NA,NA,-41.52,-42.25,NA,NA,-42.25,NA,NA,NA,-42.25,NA,-42.25,-42.25,NA,NA,NA,NA,99.16,-0.43,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43
AXON,2016-06-30,3 months ending,NA,NA,0.00,NA,NA,12.63,25.28,NA,NA,NA,NA,37.91,-37.91,NA,NA,NA,-37.91,-38.05,NA,NA,-38.05,NA,NA,NA,-38.05,NA,-38.05,-38.05,NA,NA,NA,NA,99.15,-0.38,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38
AXON,2016-03-31,3 months ending,NA,NA,0.00,NA,NA,7.15,23.43,NA,NA,NA,NA,30.59,-30.59,NA,NA,NA,-30.59,-29.67,NA,NA,-29.67,NA,NA,NA,-29.67,NA,-29.67,-29.67,NA,NA,NA,NA,99.12,-0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.30
AXON,2015-12-31,3 months ending,NA,NA,0.00,NA,NA,28.23,34.32,NA,NA,NA,NA,62.55,-62.55,NA,NA,NA,-62.55,-63.36,NA,NA,-63.36,NA,NA,NA,-63.36,NA,-63.36,-63.36,NA,NA,NA,NA,99.15,-0.64,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.64
AXON,2015-09-30,3 months ending,NA,NA,0.00,NA,NA,3.76,8.28,NA,NA,NA,NA,12.04,-12.04,NA,NA,NA,-12.04,-12.06,NA,NA,-12.06,NA,NA,NA,-12.06,NA,-12.06,-12.06,NA,NA,NA,NA,99.15,-0.12,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12
AXON,2016-03-31,12 months ending,NA,NA,0.00,NA,NA,56.52,76.64,NA,NA,NA,NA,133.16,-133.16,NA,NA,NA,-133.16,-133.15,NA,NA,-133.15,NA,NA,NA,-133.15,NA,-133.15,-133.15,NA,NA,NA,NA,94.47,-1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.41
AXON,2015-03-31,6 months ending,NA,NA,0.00,NA,NA,6.72,14.32,NA,NA,NA,NA,21.05,-21.05,NA,NA,NA,-21.05,-21.05,NA,NA,-21.05,NA,NA,NA,-21.05,NA,-21.05,-21.05,NA,NA,NA,0.00,92.90,-0.23,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23
AXP,2016-09-30,3 months ending,7924.00,NA,7924.00,1994.00,5930.00,3320.00,NA,NA,NA,67.00,808.00,6189.00,1735.00,NA,NA,NA,1735.00,1142.00,NA,NA,1142.00,NA,NA,NA,1142.00,NA,1112.00,1112.00,NA,NA,NA,0.00,923.00,1.20,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25
AXP,2016-06-30,3 months ending,8385.00,NA,8385.00,2197.00,6188.00,3385.00,NA,NA,NA,-1034.00,821.00,5369.00,3016.00,NA,NA,NA,3016.00,2015.00,NA,NA,2015.00,NA,NA,NA,2015.00,NA,1979.00,1979.00,NA,NA,NA,0.00,941.00,2.10,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37
AXP,2016-03-31,3 months ending,8238.00,NA,8238.00,2135.00,6103.00,3217.00,NA,NA,NA,-69.00,771.00,6054.00,2184.00,NA,NA,NA,2184.00,1426.00,NA,NA,1426.00,NA,NA,NA,1426.00,NA,1394.00,1394.00,NA,NA,NA,NA,963.00,1.45,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40
AXP,2015-12-31,3 months ending,8529.00,NA,8529.00,2171.00,6358.00,3455.00,NA,NA,NA,445.00,973.00,7075.00,1454.00,NA,NA,NA,1454.00,899.00,NA,NA,899.00,NA,NA,NA,899.00,NA,873.00,873.00,NA,NA,NA,0.00,979.00,0.89,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17
AXP,2015-09-30,3 months ending,8318.00,NA,8318.00,2153.00,6165.00,3353.00,NA,NA,NA,64.00,825.00,6380.00,1938.00,NA,NA,NA,1938.00,1266.00,NA,NA,1266.00,NA,NA,NA,1266.00,NA,1234.00,1234.00,NA,NA,NA,NA,997.00,1.24,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28
AXP,2015-12-31,12 months ending,33293.00,NA,33293.00,8484.00,24809.00,13034.00,NA,NA,NA,692.00,3101.00,25355.00,7938.00,NA,NA,NA,7938.00,5163.00,NA,NA,5163.00,NA,NA,NA,5163.00,NA,5063.00,5063.00,NA,NA,NA,0.00,1003.00,5.05,NA,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.50
AXP,2014-12-31,12 months ending,34665.00,NA,34665.00,8122.00,26543.00,14613.00,NA,NA,NA,-261.00,3395.00,25674.00,8991.00,NA,NA,NA,8991.00,5885.00,NA,NA,5885.00,NA,NA,NA,5885.00,NA,5839.00,5839.00,NA,NA,NA,NA,1051.00,5.56,NA,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.39
AXP,2013-12-31,12 months ending,33416.00,NA,33416.00,7666.00,25750.00,14619.00,NA,NA,NA,278.00,2912.00,25528.00,7888.00,NA,NA,NA,7888.00,5359.00,NA,NA,5359.00,NA,NA,NA,5359.00,NA,5312.00,5312.00,NA,NA,NA,NA,1089.00,4.88,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05
AXP,2012-12-31,12 months ending,32035.00,NA,32035.00,7534.00,24501.00,14656.00,NA,NA,NA,278.00,3218.00,25584.00,6451.00,NA,NA,NA,6451.00,4482.00,NA,NA,4482.00,NA,NA,NA,4482.00,NA,4433.00,4433.00,NA,NA,NA,NA,1141.00,3.89,NA,0.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05
AXR,2016-07-31,3 months ending,12.21,NA,12.21,9.66,2.55,1.35,NA,NA,NA,NA,NA,11.24,0.97,NA,NA,NA,0.97,0.63,NA,NA,0.63,NA,NA,NA,0.63,NA,0.63,0.63,NA,NA,NA,NA,8.04,0.08,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
AXR,2016-04-30,3 months ending,8.67,NA,8.67,7.93,0.74,1.67,NA,NA,NA,10.41,NA,20.29,-11.62,NA,NA,NA,-11.62,-7.80,NA,NA,-7.80,NA,NA,NA,-7.80,NA,-7.80,-7.80,NA,NA,NA,NA,8.04,-0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13
AXR,2016-01-31,3 months ending,12.20,NA,12.20,11.08,1.11,1.58,NA,NA,NA,NA,NA,13.00,-0.81,NA,NA,NA,-0.81,-0.57,NA,NA,-0.57,NA,NA,NA,-0.57,NA,-0.57,-0.57,NA,NA,NA,NA,8.04,-0.07,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.07
AXR,2015-10-31,3 months ending,11.22,NA,11.22,10.14,1.08,1.83,NA,NA,NA,NA,NA,12.33,-1.11,NA,NA,NA,-1.11,-0.68,NA,NA,-0.68,NA,NA,NA,-0.68,NA,-0.68,-0.68,NA,NA,NA,NA,8.04,-0.08,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08
AXR,2015-07-31,3 months ending,9.57,NA,9.57,9.22,0.36,1.88,NA,NA,NA,0.00,NA,11.48,-1.90,NA,NA,NA,-1.90,-1.18,NA,NA,-1.18,NA,NA,NA,-1.18,NA,-1.18,-1.18,NA,NA,NA,NA,8.03,-0.15,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15
AXR,2016-04-30,12 months ending,41.66,NA,41.66,38.37,3.29,6.96,NA,NA,NA,10.41,NA,57.10,-15.44,NA,NA,NA,-15.44,-10.22,NA,NA,-10.22,NA,NA,NA,-10.22,NA,-10.22,-10.22,NA,NA,NA,NA,8.04,-1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43
AXR,2015-04-30,12 months ending,49.79,NA,49.79,43.23,6.55,8.08,NA,NA,NA,2.58,NA,55.51,-5.72,NA,NA,NA,-5.72,-3.58,NA,NA,-3.58,NA,NA,NA,11.32,NA,-3.58,11.32,NA,NA,NA,NA,7.92,-0.45,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24
AXR,2014-04-30,12 months ending,62.20,NA,62.20,52.42,9.78,8.59,NA,NA,NA,0.69,NA,63.41,-1.21,NA,NA,NA,-1.21,-0.65,NA,NA,-0.65,NA,NA,NA,-2.94,NA,-0.65,-2.94,NA,NA,NA,NA,6.99,-0.09,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03
AXR,2013-04-30,12 months ending,83.00,NA,83.00,70.62,12.38,12.62,NA,NA,NA,1.51,1.34,87.60,-4.60,NA,NA,NA,-4.60,-2.84,NA,NA,-2.84,NA,NA,NA,-2.84,NA,-2.84,-2.84,NA,NA,NA,NA,6.00,-0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31
AXSM,2016-09-30,3 months ending,NA,NA,0.00,NA,NA,1.64,5.57,NA,NA,0.00,NA,7.21,-7.21,NA,NA,NA,-7.19,-7.19,NA,NA,-7.19,NA,NA,NA,-7.19,NA,-7.19,-7.19,NA,NA,NA,NA,19.15,-0.38,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38
AXSM,2016-06-30,3 months ending,NA,NA,0.00,NA,NA,1.53,5.30,NA,NA,NA,NA,6.83,-6.83,NA,NA,NA,-6.81,-6.81,NA,NA,-6.81,NA,NA,NA,-6.81,NA,-6.81,-6.81,NA,NA,NA,NA,19.15,-0.36,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36
AXSM,2016-03-31,3 months ending,NA,NA,0.00,NA,NA,1.36,4.53,NA,NA,NA,NA,5.88,-5.88,NA,NA,NA,-5.87,-5.87,NA,NA,-5.87,NA,NA,NA,-5.87,NA,-5.87,-5.87,NA,NA,NA,NA,19.15,-0.31,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31
AXSM,2015-12-31,3 months ending,NA,NA,0.00,NA,NA,0.95,2.21,NA,NA,0.00,NA,3.15,-3.15,NA,NA,0.00,-1.71,-1.71,NA,NA,-1.71,NA,NA,NA,-1.71,NA,-1.71,-1.71,NA,NA,NA,NA,14.28,-0.12,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12
AXSM,2015-09-30,3 months ending,NA,NA,0.00,NA,NA,0.50,1.52,NA,NA,2.44,NA,4.47,-4.47,NA,NA,0.00,-4.58,-4.58,NA,NA,-4.58,NA,NA,NA,-4.58,NA,-4.58,-4.58,NA,NA,NA,NA,17.72,-0.26,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12
AXSM,2015-12-31,12 months ending,NA,NA,0.00,NA,NA,2.42,6.78,NA,NA,2.44,NA,11.64,-11.64,NA,NA,0.00,-10.56,-10.56,NA,NA,-10.56,NA,NA,NA,-10.56,NA,-10.56,-10.56,NA,NA,NA,NA,11.95,-0.88,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.68
AXSM,2014-12-31,12 months ending,NA,NA,0.00,NA,NA,1.39,4.28,NA,NA,2.87,NA,8.54,-8.54,NA,NA,0.18,-6.00,-6.00,NA,NA,-6.00,NA,NA,NA,-6.00,NA,-6.00,-6.00,NA,NA,NA,0.00,17.72,-0.34,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18
AXSM,2013-12-31,12 months ending,NA,NA,0.00,NA,NA,0.30,1.54,NA,NA,NA,NA,1.84,-1.84,NA,NA,0.00,-2.17,-2.17,NA,NA,-2.17,NA,NA,NA,-2.17,NA,-2.17,-2.17,NA,NA,NA,0.00,17.72,-0.12,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12
AXS,2016-09-30,3 months ending,NA,NA,1066.73,NA,NA,142.91,NA,NA,NA,4.25,NA,869.29,197.44,NA,NA,NA,198.40,189.05,NA,-2.43,186.61,NA,NA,NA,186.61,NA,176.64,176.64,NA,NA,NA,NA,90.35,1.96,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00
AXS,2016-06-30,3 months ending,NA,NA,1065.21,NA,NA,146.75,NA,NA,NA,6.37,NA,974.53,90.67,NA,NA,NA,134.36,129.46,NA,NA,129.46,NA,NA,NA,129.46,NA,119.49,119.49,NA,NA,NA,NA,92.56,1.29,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36
AXS,2016-03-31,3 months ending,NA,NA,894.52,NA,NA,149.90,NA,NA,NA,9.73,NA,839.23,55.30,NA,NA,NA,41.85,48.39,NA,NA,48.39,NA,NA,NA,48.39,NA,38.42,38.42,NA,NA,NA,NA,94.85,0.41,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47
AXS,2015-12-31,3 months ending,NA,NA,980.62,NA,NA,140.37,NA,NA,NA,9.96,NA,854.22,126.40,NA,NA,NA,146.67,144.79,0.00,NA,144.79,NA,NA,NA,144.79,NA,134.79,134.79,NA,NA,NA,0.00,97.11,1.39,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49
AXS,2015-09-30,3 months ending,NA,NA,1208.53,NA,NA,144.73,NA,NA,NA,78.17,NA,966.03,242.50,NA,NA,NA,257.67,257.64,0.00,NA,257.64,NA,NA,NA,257.64,NA,247.62,247.62,NA,NA,NA,0.00,99.12,2.50,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.29
AXS,2015-12-31,12 months ending,NA,NA,4203.03,NA,NA,596.82,NA,NA,NA,118.59,NA,3609.72,593.31,NA,NA,NA,644.66,641.63,0.00,NA,641.63,NA,NA,NA,641.63,NA,601.56,601.56,NA,NA,NA,0.00,99.63,6.04,NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22
AXS,2014-12-31,12 months ending,NA,NA,4377.75,NA,NA,621.88,NA,NA,NA,31.23,NA,3577.02,800.73,NA,NA,NA,830.47,804.56,6.18,NA,810.75,NA,NA,NA,810.75,NA,770.66,770.66,NA,NA,NA,NA,105.71,7.29,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.58
AXS,2013-12-31,12 months ending,NA,NA,4205.73,NA,NA,575.39,NA,NA,NA,9.36,NA,3383.14,822.59,NA,NA,NA,734.47,727.47,NA,NA,727.47,NA,NA,NA,727.47,NA,683.91,683.91,NA,NA,NA,NA,115.33,5.93,NA,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01
AXS,2012-12-31,12 months ending,NA,NA,3950.80,NA,NA,560.98,NA,NA,NA,24.23,NA,3308.90,641.90,NA,NA,NA,550.53,547.24,NA,NA,547.24,NA,NA,NA,547.24,NA,495.00,495.00,NA,NA,NA,0.00,123.65,4.00,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.20
AYR,2016-09-30,3 months ending,194.65,NA,194.65,NA,NA,15.98,NA,76.20,NA,10.46,2.75,105.40,89.25,NA,-0.07,NA,28.09,25.63,NA,1.80,27.44,NA,NA,NA,27.44,NA,27.20,27.20,NA,NA,NA,NA,78.02,0.35,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47
AYR,2016-06-30,3 months ending,189.99,NA,189.99,NA,NA,15.41,NA,75.07,NA,16.72,5.12,112.32,77.67,NA,2.17,NA,20.39,18.00,NA,2.03,20.03,NA,NA,NA,20.03,NA,19.86,19.86,NA,NA,NA,NA,78.16,0.25,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42
AYR,2016-03-31,3 months ending,183.66,NA,183.66,NA,NA,15.49,NA,76.65,NA,0.00,6.85,98.99,84.68,NA,12.83,NA,38.64,34.70,NA,1.56,36.26,NA,NA,NA,36.26,NA,35.99,35.99,NA,NA,NA,NA,78.26,0.46,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31
AYR,2015-12-31,3 months ending,208.27,NA,208.27,NA,NA,13.54,NA,81.25,NA,17.48,6.47,118.73,89.54,NA,14.98,NA,49.68,48.95,NA,1.69,50.64,NA,NA,NA,50.64,NA,50.25,50.25,NA,NA,NA,NA,80.26,0.63,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66
AYR,2015-09-30,3 months ending,212.07,NA,212.07,NA,NA,14.03,NA,85.32,NA,78.40,7.46,185.22,26.86,NA,15.68,NA,-12.84,-15.55,NA,1.56,-13.99,NA,NA,NA,-13.99,NA,-13.99,-13.99,NA,NA,NA,NA,80.57,-0.17,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33
AYR,2015-12-31,12 months ending,819.20,NA,819.20,NA,NA,56.20,NA,318.78,NA,119.83,34.61,529.42,289.78,NA,58.02,NA,128.24,115.47,NA,6.26,121.73,NA,NA,NA,121.73,NA,120.81,120.81,NA,NA,NA,NA,80.49,1.50,NA,0.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19
AYR,2014-12-31,12 months ending,818.60,NA,818.60,NA,NA,55.77,NA,299.37,NA,130.56,41.01,526.71,291.89,NA,23.15,NA,111.64,97.77,NA,3.05,100.83,NA,NA,NA,100.83,NA,100.10,100.10,NA,NA,NA,NA,80.39,1.25,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42
AYR,2013-12-31,12 months ending,708.64,NA,708.64,NA,NA,53.44,NA,284.92,NA,117.31,40.76,496.43,212.22,NA,37.22,NA,38.94,29.73,NA,0.05,29.78,NA,NA,NA,29.78,NA,29.54,29.54,NA,NA,NA,0.00,73.65,0.40,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23
AYR,2012-12-31,12 months ending,686.57,NA,686.57,NA,NA,48.37,NA,269.92,NA,96.45,44.83,459.57,227.00,NA,5.75,NA,40.71,32.87,NA,0.00,32.87,NA,NA,NA,32.87,NA,32.60,32.60,NA,NA,NA,0.00,70.72,0.46,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51
AYI,2016-08-31,3 months ending,925.40,NA,925.40,523.40,402.00,262.10,NA,NA,NA,4.80,NA,790.30,135.10,NA,NA,0.10,127.20,82.90,NA,NA,82.90,NA,NA,NA,82.90,NA,82.80,82.80,NA,NA,NA,0.02,44.10,1.88,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95
AYI,2016-05-31,3 months ending,851.50,NA,851.50,473.60,377.90,247.20,NA,NA,NA,9.70,NA,730.50,121.00,NA,NA,-0.30,112.60,74.00,NA,NA,74.00,NA,NA,NA,74.00,NA,73.90,73.90,NA,NA,NA,0.12,43.80,1.69,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84
AYI,2016-02-29,3 months ending,777.80,NA,777.80,440.90,336.90,230.10,NA,NA,NA,0.10,NA,671.10,106.70,NA,NA,1.10,99.60,65.50,NA,NA,65.50,NA,NA,NA,65.50,NA,65.40,65.40,NA,NA,NA,NA,43.80,1.49,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49
AYI,2015-11-30,3 months ending,736.60,NA,736.60,417.20,319.40,206.60,NA,NA,NA,0.40,NA,624.20,112.40,NA,NA,0.70,105.20,68.40,NA,NA,68.40,NA,NA,NA,68.40,NA,68.30,68.30,NA,NA,NA,NA,43.60,1.57,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57
AYI,2015-08-31,3 months ending,759.50,NA,759.50,438.20,321.30,206.90,NA,NA,NA,2.60,NA,647.70,111.80,NA,NA,-11.70,92.40,60.10,NA,NA,60.10,NA,NA,NA,60.10,NA,59.80,59.80,NA,NA,NA,NA,43.40,1.38,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42
AYI,2016-08-31,12 months ending,3291.30,NA,3291.30,1855.10,1436.20,898.90,47.10,NA,NA,15.00,NA,2816.10,475.20,NA,NA,0.80,444.60,290.80,NA,NA,290.80,NA,NA,NA,290.80,NA,290.40,290.40,NA,NA,NA,NA,43.80,6.63,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.85
AYI,2015-08-31,12 months ending,2706.70,NA,2706.70,1561.10,1145.60,715.80,41.10,NA,NA,12.40,NA,2330.40,376.30,NA,NA,-1.90,343.60,222.10,NA,NA,222.10,NA,NA,NA,222.10,NA,221.10,221.10,NA,NA,NA,NA,43.40,5.09,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28
AYI,2014-08-31,12 months ending,2393.50,NA,2393.50,1414.30,979.20,680.30,NA,NA,NA,-0.20,NA,2094.40,299.10,NA,NA,-2.80,265.70,175.80,NA,NA,175.80,NA,NA,NA,175.80,NA,174.20,174.20,NA,NA,NA,NA,43.00,4.05,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05
AYI,2013-08-31,12 months ending,2089.10,NA,2089.10,1251.50,837.60,574.90,32.70,NA,NA,8.50,NA,1867.60,221.50,NA,NA,3.00,193.10,127.40,NA,NA,127.40,NA,NA,NA,127.40,NA,125.40,125.40,NA,NA,NA,0.00,42.50,2.95,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08
AZN,2016-09-30,3 months ending,5699.00,NA,5699.00,841.00,4858.00,1968.00,1337.00,297.00,NA,335.00,-107.00,4671.00,1028.00,NA,NA,NA,676.00,995.00,19.00,NA,1014.00,NA,NA,NA,1014.00,NA,1014.00,1014.00,NA,NA,NA,0.00,1266.00,0.80,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07
AZN,2016-06-30,3 months ending,5603.00,NA,5603.00,1043.00,4560.00,2191.00,1384.00,309.00,NA,765.00,-392.00,5300.00,303.00,NA,NA,NA,-30.00,-31.00,28.00,NA,-3.00,NA,NA,NA,-3.00,NA,-3.00,-3.00,NA,NA,NA,NA,1265.00,0.00,NA,0.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59
AZN,2016-03-31,3 months ending,6115.00,NA,6115.00,995.00,5120.00,2203.00,1429.00,263.00,NA,263.00,-76.00,5077.00,1038.00,NA,NA,NA,723.00,625.00,21.00,NA,646.00,NA,NA,NA,646.00,NA,646.00,646.00,NA,NA,NA,0.00,1265.00,0.51,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73
AZN,2015-12-31,3 months ending,6399.00,NA,6399.00,1235.00,5164.00,2560.00,1567.00,360.00,NA,82.00,-493.00,5311.00,1088.00,NA,NA,NA,802.00,808.00,0.00,NA,808.00,NA,NA,NA,808.00,NA,808.00,808.00,NA,NA,NA,0.00,1265.00,0.64,NA,1.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49
AZN,2015-09-30,3 months ending,5945.00,NA,5945.00,1018.00,4927.00,2299.00,1400.00,234.00,NA,298.00,-474.00,4775.00,1170.00,NA,NA,NA,931.00,770.00,0.00,NA,770.00,NA,NA,NA,770.00,NA,770.00,770.00,NA,NA,NA,0.00,1265.00,0.61,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85
AZN,2015-12-31,12 months ending,24708.00,NA,24708.00,4488.00,20220.00,9604.00,5603.00,1171.00,NA,1406.00,-1678.00,20594.00,4114.00,NA,NA,-647.00,3069.00,2826.00,-1.00,NA,2825.00,NA,NA,NA,2825.00,NA,2825.00,2825.00,NA,NA,NA,0.00,1265.00,2.23,NA,2.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15
AZN,2014-12-31,12 months ending,26547.00,NA,26547.00,5589.00,20958.00,10540.00,4941.00,1164.00,NA,3033.00,-857.00,24410.00,2137.00,NA,NA,-545.00,1246.00,1235.00,-2.00,NA,1233.00,NA,NA,NA,1233.00,NA,1233.00,1233.00,NA,NA,NA,0.00,1264.00,0.98,NA,2.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13
AZN,2013-12-31,12 months ending,25806.00,NA,25806.00,5261.00,20545.00,12512.00,4821.00,NA,NA,NA,-500.00,22094.00,3712.00,NA,NA,-79.00,3267.00,2571.00,-15.00,NA,2556.00,NA,NA,NA,2556.00,NA,2556.00,2556.00,NA,NA,NA,0.00,1254.00,2.04,NA,2.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04
AZN,2012-12-31,12 months ending,27973.00,NA,27973.00,5393.00,22580.00,10159.00,5243.00,NA,NA,0.00,-970.00,19825.00,8148.00,NA,NA,-93.00,7646.00,6270.00,-30.00,NA,6240.00,NA,NA,NA,6240.00,NA,6240.00,6240.00,NA,NA,NA,0.00,1264.00,4.94,NA,2.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.94
AXTI,2016-09-30,3 months ending,21.87,NA,21.87,14.29,7.58,3.31,1.57,NA,NA,0.00,NA,19.17,2.70,NA,NA,0.16,2.39,2.21,0.02,NA,2.23,NA,NA,NA,2.23,NA,2.19,2.19,NA,NA,NA,NA,33.14,0.07,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07
