"market","symbol","name","ipoyear","sector","industry","quote"
"NASDAQ","GLPG","Galapagos NV","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glpg"
"NASDAQ","GLPI","Gaming and Leisure Properties, Inc.","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/glpi"
"NASDAQ","GLRE","Greenlight Reinsurance, Ltd.","2007","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/glre"
"NYSE","GLT","Glatfelter","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/glt"
"NASDAQ","GLUU","Glu Mobile Inc.","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/gluu"
"NYSE","GLW","Corning Incorporated","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/glw"
"NASDAQ","GLYC","GlycoMimetics, Inc.","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glyc"
"NYSE","GM","General Motors Company","2010","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/gm"
"NYSE","GM.WS.B","General Motors Company","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gm.ws.b"
"NASDAQ","GMAN","Gordmans Stores, Inc.","2010","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/gman"
"NYSE","GME","Gamestop Corporation","2002","Consumer Services","Electronics Distribution","http://www.nasdaq.com/symbol/gme"
"NYSE","GMED","Globus Medical, Inc.","2012","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/gmed"
"NASDAQ","GMLP","Golar LNG Partners LP","2011","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gmlp"
"NYSE","GMRE","Global Medical REIT Inc.","2016","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/gmre"
"NYSE","GMS","GMS Inc.","2016","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/gms"
"NYSE","GMTA","GATX Corporation","2016","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/gmta"
"NYSE","GMZ","Goldman Sachs MLP Income Opportunities Fund","2013","n/a","n/a","http://www.nasdaq.com/symbol/gmz"
"NASDAQ","GNBC","Green Bancorp, Inc.","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/gnbc"
"NYSE","GNC","GNC Holdings, Inc.","2011","Consumer Non-Durables","Food Chains","http://www.nasdaq.com/symbol/gnc"
"NASDAQ","GNCA","Genocea Biosciences, Inc.","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gnca"
"NASDAQ","GNCMA","General Communication, Inc.","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/gncma"
"NYSE","GNE","Genie Energy Ltd.","2011","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/gne"
"NYSE","GNE^A","Genie Energy Ltd.","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gne^a"
"NYSE","GNK","Genco Shipping & Trading Limited Warrants Expiring 12/31/2021 ","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gnk"
"NYSE","GNL","Global Net Lease, Inc.","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/gnl"
"NASDAQ","GNMA","iShares GNMA Bond ETF","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gnma"
"NASDAQ","GNMK","GenMark Diagnostics, Inc.","2010","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/gnmk"
"NYSE","GNRC","Generac Holdlings Inc.","2010","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/gnrc"
"NYSE","GNRT","Gener8 Maritime, Inc.","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gnrt"
"NASDAQ","GNRX","VanEck Vectors Generic Drugs ETF","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gnrx"
"NASDAQ","GNST","GenSight Biologics S.A.","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gnst"
"NYSE","GNT","GAMCO Natural Resources, Gold & Income Tust ","2011","n/a","n/a","http://www.nasdaq.com/symbol/gnt"
