symbol,date,period,CashEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivableTradeNet,ReceivablesOther,TotalReceivablesNet,TotalInventory,PrepaidExpenses,OtherCurrentAssetsTotal,TotalCurrentAssets,PropertyPlantEquipmentTotalGross,AccumulatedDepreciationTotal,GoodwillNet,IntangiblesNet,LongTermInvestments,OtherLongTermAssetsTotal,TotalAssets,AccountsPayable,AccruedExpenses,NotesPayableShortTermDebt,CurrentPortofLTDebtCapitalLeases,OtherCurrentliabilitiesTotal,TotalCurrentLiabilities,LongTermDebt,CapitalLeaseObligations,TotalLongTermDebt,TotalDebt,DeferredIncomeTax,MinorityInterest,OtherLiabilitiesTotal,TotalLiabilities,RedeemablePreferredStockTotal,PreferredStockNonRedeemableNet,CommonStockTotal,AdditionalPaidInCapital,RetainedEarningsAccumulatedDeficit,TreasuryStockCommon,OtherEquityTotal,TotalEquity,TotalLiabilitiesShareholdersEquity,SharesOutsCommonStockPrimaryIssue,TotalCommonSharesOutstanding
AXON,2016-09-30,As of,NA,NA,229.66,NA,NA,0.68,NA,4.11,NA,234.44,NA,NA,NA,NA,NA,0.04,234.59,9.51,1.67,0.00,NA,17.47,28.64,NA,NA,0.00,0.00,NA,NA,NA,28.64,NA,NA,0.00,440.44,-234.50,NA,NA,205.94,234.59,NA,99.16
AXON,2016-06-30,As of,NA,NA,252.66,NA,NA,0.80,NA,3.30,NA,256.75,NA,NA,NA,NA,NA,0.32,257.18,2.84,0.89,0.00,NA,13.20,16.93,NA,NA,0.00,0.00,NA,NA,NA,16.93,NA,NA,0.00,432.50,-192.25,NA,NA,240.25,257.18,NA,99.15
AXON,2016-03-31,As of,NA,NA,276.25,NA,NA,0.97,NA,4.87,0.00,282.09,NA,NA,NA,NA,NA,0.32,282.50,0.62,1.89,0.00,NA,13.24,15.76,NA,NA,0.00,0.00,NA,NA,0.00,15.76,NA,NA,0.00,420.93,-154.19,NA,0.00,266.74,282.50,NA,99.15
AXON,2015-12-31,As of,NA,NA,300.00,NA,NA,NA,NA,3.82,0.00,303.82,NA,NA,NA,NA,NA,NA,303.88,3.56,1.20,0.00,NA,11.14,15.89,NA,NA,0.00,0.00,NA,NA,0.00,15.89,NA,NA,0.00,412.51,-124.52,NA,0.00,287.99,303.88,NA,99.15
AXON,2015-09-30,As of,NA,NA,320.21,NA,NA,NA,NA,2.03,0.27,322.51,NA,NA,NA,NA,NA,0.12,322.66,0.70,1.94,0.00,NA,7.74,10.38,NA,NA,0.00,0.00,NA,NA,NA,10.38,NA,NA,0.00,373.45,-61.17,NA,0.00,312.29,322.66,NA,99.15
AXON,2016-03-31,As of,NA,NA,276.25,NA,NA,0.97,NA,4.87,0.00,282.09,NA,NA,NA,NA,NA,0.32,282.50,0.62,1.89,0.00,NA,13.24,15.76,NA,NA,0.00,0.00,NA,NA,0.00,15.76,NA,NA,0.00,420.93,-154.19,NA,0.00,266.74,282.50,NA,99.15
AXON,2015-03-31,As of,NA,NA,NA,NA,NA,NA,NA,0.00,1.10,1.11,NA,NA,NA,NA,NA,NA,1.12,0.40,1.16,0.00,NA,2.31,3.87,NA,NA,0.00,0.00,NA,NA,5.00,8.87,NA,NA,0.00,13.30,-21.05,NA,0.00,-7.75,1.12,NA,92.90
AXP,2016-09-30,As of,NA,NA,2524.00,44821.00,NA,47331.00,NA,NA,NA,NA,9296.00,-4995.00,NA,NA,27724.00,612.00,153377.00,11372.00,NA,56361.00,NA,NA,NA,44894.00,NA,44894.00,101255.00,NA,NA,19733.00,132360.00,NA,NA,184.00,12790.00,10661.00,NA,-2668.00,21017.00,153377.00,NA,917.00
AXP,2016-06-30,As of,NA,NA,2811.00,44800.00,NA,47497.00,NA,NA,NA,NA,9065.00,-4855.00,NA,NA,34848.00,35.00,159642.00,11729.00,NA,56747.00,NA,NA,NA,50649.00,NA,50649.00,107396.00,NA,NA,19805.00,138930.00,NA,NA,185.00,12868.00,10280.00,NA,-2686.00,20712.00,159642.00,NA,925.00
AXP,2016-03-31,As of,NA,NA,2761.00,55716.00,NA,58349.00,NA,NA,NA,NA,11109.00,-6972.00,NA,NA,26123.00,37.00,158816.00,12027.00,NA,58360.00,NA,NA,NA,47311.00,NA,47311.00,105671.00,NA,NA,20391.00,138089.00,NA,NA,191.00,13089.00,9949.00,NA,-2562.00,20727.00,158816.00,NA,951.00
AXP,2015-12-31,As of,NA,NA,2935.00,58663.00,NA,61687.00,NA,NA,NA,NA,10909.00,-6801.00,NA,NA,23586.00,477.00,161184.00,11822.00,NA,59809.00,NA,NA,NA,48061.00,NA,48061.00,107870.00,NA,NA,20819.00,140511.00,NA,NA,194.00,13348.00,9665.00,NA,-2592.00,20673.00,161184.00,NA,969.00
AXP,2015-09-30,As of,NA,NA,2613.00,43890.00,NA,46407.00,NA,NA,NA,NA,10765.00,-6733.00,NA,NA,21272.00,748.00,154216.00,11340.00,NA,52461.00,NA,NA,NA,48653.00,NA,48653.00,101114.00,NA,NA,20427.00,132881.00,NA,NA,197.00,13487.00,10025.00,NA,-2443.00,21335.00,154216.00,NA,985.00
AXP,2015-12-31,As of,NA,NA,2935.00,58663.00,NA,61687.00,NA,851.00,NA,NA,10909.00,-6801.00,2749.00,796.00,23586.00,2708.00,161184.00,11822.00,NA,60218.00,NA,NA,NA,48061.00,NA,48061.00,108279.00,NA,NA,20410.00,140511.00,NA,NA,194.00,13348.00,9665.00,NA,-2592.00,20673.00,161184.00,NA,969.00
AXP,2014-12-31,As of,NA,NA,2628.00,44386.00,NA,47000.00,NA,1626.00,NA,NA,10208.00,-6270.00,3024.00,854.00,24091.00,2494.00,159103.00,11300.00,NA,48298.00,NA,NA,NA,57955.00,NA,57955.00,106253.00,NA,NA,20877.00,138430.00,NA,NA,205.00,12874.00,9513.00,NA,-2015.00,20673.00,159103.00,NA,1023.00
AXP,2013-12-31,As of,NA,NA,2212.00,43777.00,NA,47185.00,NA,1998.00,NA,NA,9853.00,-5978.00,3198.00,817.00,22290.00,2929.00,153375.00,10615.00,NA,47226.00,NA,NA,NA,55330.00,NA,55330.00,102556.00,NA,NA,20708.00,133879.00,NA,NA,213.00,12202.00,8507.00,NA,-1489.00,19496.00,153375.00,NA,1064.00
AXP,2012-12-31,As of,NA,NA,2020.00,42338.00,NA,45914.00,NA,1960.00,NA,NA,9064.00,-5429.00,3181.00,993.00,25844.00,3026.00,153140.00,10006.00,NA,43649.00,NA,NA,NA,58973.00,NA,58973.00,102622.00,NA,NA,21626.00,134254.00,NA,NA,221.00,12067.00,7525.00,NA,-1242.00,18886.00,153140.00,NA,1105.00
AXR,2016-07-31,As of,11.29,NA,11.29,7.40,NA,7.40,59.72,NA,NA,NA,35.06,-23.38,NA,3.47,NA,10.95,114.28,NA,NA,0.00,0.00,6.48,NA,NA,NA,0.00,0.00,NA,NA,16.65,30.74,NA,NA,0.83,50.61,47.41,-4.21,-11.10,83.53,114.28,NA,8.07
AXR,2016-04-30,As of,14.56,NA,14.56,7.27,NA,7.27,61.66,NA,NA,NA,45.33,-23.01,NA,0.28,0.00,14.49,120.63,NA,NA,0.00,0.56,12.38,NA,0.00,NA,0.00,0.56,NA,NA,16.39,37.78,NA,NA,0.83,50.55,46.78,-4.21,-11.10,82.84,120.63,NA,8.06
AXR,2016-01-31,As of,13.86,NA,13.86,8.05,NA,8.05,63.58,NA,NA,NA,49.31,-25.09,NA,5.43,6.57,9.62,133.05,NA,NA,0.00,0.45,12.49,NA,3.86,NA,3.86,4.31,NA,NA,16.62,42.13,NA,NA,0.83,50.55,54.58,-4.21,-10.83,90.91,133.05,NA,8.06
AXR,2015-10-31,As of,12.40,NA,12.40,9.54,NA,9.54,65.53,NA,NA,NA,NA,NA,NA,8.86,NA,6.26,135.19,NA,NA,0.00,0.13,13.18,NA,3.89,NA,3.89,4.03,NA,NA,16.45,43.71,NA,NA,0.83,50.55,55.15,-4.21,-10.83,91.48,135.19,NA,8.06
AXR,2015-07-31,As of,9.70,NA,9.70,10.93,NA,10.93,66.39,NA,NA,NA,NA,NA,NA,9.67,NA,5.84,135.10,NA,NA,0.00,0.13,13.78,NA,3.93,NA,3.93,4.06,NA,NA,16.28,42.94,NA,NA,0.83,50.55,55.82,-4.21,-10.83,92.16,135.10,NA,8.06
AXR,2016-04-30,As of,14.56,NA,14.56,7.27,NA,7.27,61.66,NA,NA,NA,45.33,-23.01,NA,0.28,0.00,14.49,120.63,NA,NA,0.00,0.56,12.38,NA,0.00,NA,0.00,0.56,NA,NA,16.39,37.78,NA,NA,0.83,50.55,46.78,-4.21,-11.10,82.84,120.63,NA,8.06
AXR,2015-04-30,As of,12.05,NA,12.05,11.27,NA,11.27,66.32,NA,NA,NA,NA,NA,NA,10.44,NA,7.53,138.73,NA,NA,0.00,0.13,14.66,NA,3.96,NA,3.96,4.09,NA,NA,16.38,45.41,NA,NA,0.83,50.54,57.00,-4.21,-10.83,93.32,138.73,NA,8.06
AXR,2014-04-30,As of,7.57,NA,7.57,10.96,NA,10.96,71.29,NA,NA,NA,NA,NA,NA,12.64,NA,50.41,186.10,NA,NA,0.00,0.22,15.14,NA,4.19,NA,4.19,4.40,NA,NA,74.82,106.80,NA,NA,0.74,46.26,45.68,-4.21,-9.18,79.30,186.10,NA,7.22
AXR,2013-04-30,As of,13.71,NA,13.71,47.31,NA,47.31,73.91,3.86,NA,NA,63.79,-28.38,NA,9.84,0.75,10.89,195.86,78.53,1.90,0.00,0.14,20.92,NA,4.83,NA,4.83,4.97,NA,NA,17.00,123.31,NA,NA,0.74,46.10,63.92,-26.66,-11.56,72.54,195.86,NA,6.00
AXSM,2016-09-30,As of,NA,NA,33.89,NA,NA,NA,NA,0.87,NA,34.75,NA,NA,NA,NA,NA,0.06,34.92,3.87,2.87,0.00,NA,NA,6.74,NA,NA,0.00,0.00,NA,NA,NA,6.74,NA,NA,0.00,68.49,-40.31,NA,NA,28.18,34.92,NA,19.15
AXSM,2016-06-30,As of,NA,NA,38.75,NA,NA,NA,NA,1.16,NA,39.92,NA,NA,NA,NA,NA,0.06,40.01,3.04,2.07,0.00,NA,NA,5.10,NA,NA,0.00,0.00,NA,NA,NA,5.10,NA,NA,0.00,68.02,-33.12,NA,NA,34.90,40.01,NA,19.15
AXSM,2016-03-31,As of,NA,NA,44.08,NA,NA,NA,NA,0.99,NA,45.07,NA,NA,NA,NA,NA,0.06,45.15,1.83,2.08,0.00,NA,NA,3.91,NA,NA,0.00,0.00,NA,NA,NA,3.91,NA,NA,0.00,67.54,-26.31,NA,NA,41.23,45.15,NA,19.15
AXSM,2015-12-31,As of,NA,NA,48.04,NA,NA,NA,NA,1.00,NA,49.03,NA,NA,NA,NA,NA,0.03,49.08,1.89,0.74,0.00,NA,NA,2.63,NA,NA,0.00,0.00,NA,NA,NA,2.63,NA,NA,0.00,66.88,-20.44,NA,NA,46.44,49.08,NA,19.15
AXSM,2015-09-30,As of,NA,NA,4.62,NA,NA,NA,NA,0.33,0.01,4.97,NA,NA,NA,NA,NA,1.16,6.14,1.72,0.52,0.00,0.00,0.15,2.38,15.14,NA,15.14,15.14,NA,NA,0.04,17.56,NA,NA,0.00,5.65,-17.07,NA,0.00,-11.43,6.14,NA,17.72
AXSM,2015-12-31,As of,NA,NA,48.04,NA,NA,NA,NA,1.00,NA,49.03,NA,NA,NA,NA,NA,0.03,49.08,1.89,0.74,0.00,NA,NA,2.63,NA,NA,0.00,0.00,NA,NA,NA,2.63,NA,NA,0.00,66.88,-20.44,NA,NA,46.44,49.08,NA,19.15
AXSM,2014-12-31,As of,NA,NA,2.62,NA,NA,NA,NA,0.13,NA,2.74,NA,NA,NA,NA,NA,0.04,2.79,0.76,0.04,0.04,NA,0.14,0.97,4.44,NA,4.44,4.48,NA,NA,0.57,5.99,NA,NA,0.00,5.03,-8.23,NA,NA,-3.20,2.79,NA,11.11
AXSM,2013-12-31,As of,NA,NA,2.09,NA,NA,NA,NA,0.01,NA,2.10,NA,NA,NA,NA,NA,0.00,2.10,0.16,0.14,0.06,3.76,0.00,4.13,0.00,NA,0.00,3.83,NA,NA,0.00,4.13,NA,NA,0.00,0.21,-2.23,NA,-0.01,-2.03,2.10,NA,17.72
AXS,2016-09-30,As of,848.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.50,13542.39,229.06,21222.39,NA,NA,0.00,NA,141.25,NA,992.63,NA,992.63,992.63,NA,NA,272.87,15196.73,NA,625.00,2.21,2307.87,6430.57,-3438.49,98.50,6025.66,21222.39,NA,88.44
AXS,2016-06-30,As of,792.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.95,13537.12,200.53,21249.44,NA,NA,0.00,NA,144.04,NA,992.36,NA,992.36,992.36,NA,NA,241.93,15285.26,NA,625.00,2.21,2302.56,6285.80,-3314.47,63.09,5964.18,21249.44,NA,90.65
AXS,2016-03-31,As of,777.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.45,13632.16,174.99,20978.19,NA,NA,0.00,NA,135.65,NA,992.09,NA,992.09,992.09,NA,NA,253.22,15027.93,NA,625.00,2.21,2296.53,6198.93,-3190.06,17.65,5950.26,20978.19,NA,92.90
AXS,2015-12-31,As of,988.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.86,13375.19,186.62,19981.89,NA,NA,0.00,NA,9.36,NA,991.83,NA,991.83,991.83,NA,0.00,350.24,14115.01,NA,627.84,2.20,2241.39,6194.35,-3010.44,-38.88,5866.88,19981.89,NA,96.07
AXS,2015-09-30,As of,992.25,NA,NA,NA,NA,75.38,NA,NA,NA,NA,NA,NA,NA,87.33,13765.65,188.22,20557.34,NA,NA,0.00,NA,303.92,NA,991.56,NA,991.56,991.56,NA,0.00,322.74,14730.98,NA,627.84,2.20,2230.28,6093.90,-3010.26,-117.59,5826.37,20557.34,NA,96.05
AXS,2015-12-31,As of,988.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.86,13375.19,186.62,19981.89,NA,NA,0.00,NA,9.36,NA,991.83,NA,991.83,991.83,NA,0.00,350.24,14115.01,NA,627.84,2.20,2241.39,6194.35,-3010.44,-38.88,5866.88,19981.89,NA,96.07
AXS,2014-12-31,As of,921.83,NA,NA,NA,NA,83.07,NA,NA,NA,NA,NA,NA,NA,88.96,13769.98,287.87,19955.74,NA,NA,0.00,NA,188.18,NA,990.79,NA,990.79,990.79,NA,58.82,315.47,14134.61,NA,627.84,2.19,2285.02,5715.50,-2763.86,-17.38,5821.12,19955.74,NA,99.43
AXS,2013-12-31,As of,923.33,NA,NA,NA,NA,97.13,NA,NA,NA,NA,NA,NA,NA,89.53,13780.34,64.55,19634.78,NA,NA,0.00,0.00,21.74,NA,995.86,NA,995.86,995.86,NA,50.00,248.82,13816.82,NA,627.84,2.17,2240.12,5062.71,-2232.71,-7.12,5817.96,19634.78,NA,109.48
AXS,2012-12-31,As of,759.82,NA,NA,NA,NA,97.22,NA,NA,NA,NA,NA,NA,NA,97.49,13546.89,90.73,18852.34,NA,NA,0.00,NA,64.55,NA,995.25,NA,995.25,995.25,NA,NA,228.62,13072.58,NA,502.84,2.15,2179.03,4497.79,-1764.67,14.29,5779.76,18852.34,NA,117.92
AYR,2016-09-30,As of,656.25,NA,656.25,5.27,NA,5.27,NA,NA,NA,NA,7249.94,-1245.45,NA,NA,333.01,73.29,7182.86,NA,64.11,0.00,NA,189.20,NA,4547.73,NA,4547.73,4547.73,38.63,NA,534.38,5397.76,NA,NA,0.79,1519.85,268.60,NA,-4.14,1785.10,7182.86,NA,78.63
AYR,2016-06-30,As of,493.23,NA,493.23,4.50,NA,4.50,NA,NA,NA,NA,7083.78,-1207.84,NA,NA,356.26,95.22,6945.88,NA,43.67,0.00,NA,180.71,NA,4362.79,NA,4362.79,4362.79,36.94,NA,509.19,5169.39,NA,0.00,0.79,1520.51,260.04,NA,-4.84,1776.49,6945.88,NA,78.78
AYR,2016-03-31,As of,594.38,NA,594.38,7.39,NA,7.39,NA,NA,NA,NA,6771.71,-1213.05,NA,NA,271.42,86.61,6702.83,NA,51.45,0.00,NA,167.47,NA,4184.38,NA,4184.38,4184.38,34.52,NA,459.73,4931.95,NA,NA,0.79,1519.02,258.92,NA,-7.84,1770.88,6702.83,NA,78.81
AYR,2015-12-31,As of,155.90,NA,155.90,8.57,NA,8.57,NA,NA,NA,NA,7173.09,-1306.02,NA,NA,251.59,112.40,6569.96,NA,37.61,0.00,NA,182.97,NA,4041.16,NA,4041.16,4041.16,35.27,NA,459.01,4790.46,NA,0.00,0.80,1550.34,241.57,NA,-13.21,1779.50,6569.96,NA,80.23
AYR,2015-09-30,As of,149.04,NA,149.04,3.05,NA,3.05,NA,NA,NA,NA,7289.25,-1403.44,NA,NA,170.01,90.54,6488.40,NA,51.73,0.00,NA,175.04,NA,3995.22,NA,3995.22,3995.22,36.42,NA,431.02,4727.98,NA,NA,0.81,1567.69,210.31,NA,-18.40,1760.41,6488.40,NA,81.18
AYR,2015-12-31,As of,155.90,NA,155.90,8.57,NA,8.57,NA,NA,NA,NA,7173.09,-1306.02,NA,NA,251.59,112.40,6569.96,NA,37.61,0.00,NA,182.97,NA,4041.16,NA,4041.16,4041.16,35.27,NA,459.01,4790.46,NA,0.00,0.80,1550.34,241.57,NA,-13.21,1779.50,6569.96,NA,80.23
AYR,2014-12-31,As of,169.66,NA,169.66,3.33,NA,3.33,NA,NA,NA,NA,6873.78,-1294.06,NA,NA,153.10,106.91,6175.15,NA,27.80,0.00,NA,170.91,NA,3744.59,NA,3744.59,3744.59,37.34,NA,433.42,4454.81,NA,NA,0.81,1565.18,192.81,NA,-38.46,1720.34,6175.15,NA,80.98
AYR,2013-12-31,As of,654.61,NA,654.61,2.83,NA,2.83,NA,NA,NA,NA,6474.73,-1430.33,NA,NA,166.30,185.93,6251.89,NA,39.21,0.00,NA,168.04,NA,3737.36,NA,3737.36,3737.36,33.18,NA,598.49,4606.49,NA,NA,0.81,1562.11,158.40,NA,-75.91,1645.41,6251.89,NA,80.81
AYR,2012-12-31,As of,618.22,NA,618.22,5.62,NA,5.62,NA,NA,NA,NA,5967.73,-1305.06,NA,NA,119.95,134.15,5812.16,NA,NA,0.00,NA,140.90,NA,3598.68,NA,3598.68,3598.68,NA,NA,548.37,4396.53,NA,NA,0.69,1360.56,180.68,NA,-126.29,1415.63,5812.16,NA,68.64
AYI,2016-08-31,As of,413.20,NA,413.20,572.80,NA,572.80,295.20,41.70,NA,1322.90,645.70,-377.90,947.80,381.40,NA,28.10,2948.00,401.00,271.30,0.00,0.20,NA,672.50,355.00,NA,355.00,355.20,74.60,NA,186.10,1288.20,NA,NA,0.50,856.40,1360.90,-418.60,-139.40,1659.80,2948.00,NA,43.74
AYI,2016-05-31,As of,337.00,NA,337.00,494.00,NA,494.00,288.90,34.90,NA,1154.80,637.50,-374.60,889.80,448.70,NA,27.00,2783.20,353.90,230.50,0.00,0.20,NA,584.60,354.20,NA,354.20,354.40,116.00,NA,140.50,1195.30,NA,NA,0.50,833.60,1283.80,-420.20,-109.80,1587.90,2783.20,NA,43.59
AYI,2016-02-29,As of,224.30,NA,224.30,458.80,NA,458.80,277.50,37.10,NA,997.70,621.30,-364.70,883.70,452.80,NA,29.00,2619.80,317.80,195.40,0.00,0.20,NA,513.40,353.50,NA,353.50,353.70,114.20,NA,145.30,1126.40,NA,NA,0.50,818.70,1215.50,-420.20,-121.10,1493.40,2619.80,NA,43.52
AYI,2015-11-30,As of,560.20,NA,560.20,415.70,NA,415.70,242.30,37.00,NA,1255.20,553.50,-362.20,728.00,303.00,NA,28.80,2506.30,329.10,183.60,0.00,NA,NA,512.70,352.40,NA,352.40,352.40,57.30,NA,149.00,1071.40,NA,NA,0.50,812.10,1155.70,-420.20,-113.20,1434.90,2506.30,NA,43.51
AYI,2015-08-31,As of,756.80,NA,756.80,411.70,NA,411.70,224.80,20.10,NA,1413.40,527.00,-352.40,565.00,223.40,NA,30.60,2407.00,311.10,209.80,0.00,NA,NA,520.90,352.40,NA,352.40,352.40,31.70,NA,142.00,1047.00,NA,NA,0.50,797.10,1093.00,-420.20,-110.40,1360.00,2407.00,NA,43.31
AYI,2016-08-31,As of,413.20,NA,413.20,572.80,NA,572.80,295.20,41.70,NA,1322.90,645.70,-377.90,947.80,382.20,8.00,19.30,2948.00,401.00,271.30,0.00,0.20,NA,672.50,355.00,NA,355.00,355.20,74.60,NA,186.10,1288.20,NA,NA,0.50,856.40,1360.90,-418.60,-139.40,1659.80,2948.00,NA,43.74
AYI,2015-08-31,As of,756.80,NA,756.80,411.70,NA,411.70,224.80,20.10,NA,1413.40,527.00,-352.40,565.00,223.40,NA,30.60,2407.00,311.10,209.80,0.00,NA,NA,520.90,352.40,NA,352.40,352.40,31.70,NA,142.00,1047.00,NA,NA,0.50,797.10,1093.00,-420.20,-110.40,1360.00,2407.00,NA,43.31
AYI,2014-08-31,As of,552.50,NA,552.50,373.40,NA,373.40,212.00,27.00,21.50,1186.40,499.60,-347.10,569.40,231.60,NA,26.50,2166.40,287.40,183.10,0.00,NA,NA,470.50,351.90,NA,351.90,351.90,58.40,NA,122.10,1002.90,NA,NA,0.50,761.50,893.60,-420.20,-71.90,1163.50,2166.40,NA,42.86
AYI,2013-08-31,As of,359.10,NA,359.10,318.30,NA,318.30,203.00,16.90,16.20,913.50,471.30,-323.40,568.20,247.80,NA,26.40,1903.80,249.50,136.70,0.00,NA,NA,386.20,353.60,NA,353.60,353.60,53.90,NA,116.60,910.30,NA,NA,0.50,735.50,740.30,-420.20,-62.60,993.50,1903.80,NA,42.49
AZN,2016-09-30,As of,3090.00,909.00,3999.00,5449.00,NA,6089.00,2420.00,NA,358.00,12866.00,NA,NA,11806.00,28507.00,810.00,1862.00,63222.00,9961.00,NA,0.00,2939.00,2482.00,15382.00,14736.00,8.00,14744.00,17683.00,4051.00,1840.00,14133.00,50150.00,NA,NA,316.00,4344.00,6381.00,NA,2031.00,13072.00,63222.00,NA,1265.00
AZN,2016-06-30,As of,3915.00,731.00,4646.00,5619.00,NA,6247.00,2422.00,NA,5.00,13320.00,NA,NA,11848.00,29438.00,575.00,1861.00,64419.00,10259.00,NA,0.00,1060.00,3016.00,14335.00,16510.00,9.00,16519.00,17579.00,4076.00,1860.00,14099.00,50889.00,NA,NA,316.00,4326.00,6858.00,NA,2030.00,13530.00,64419.00,NA,1264.62
AZN,2016-03-31,As of,3428.00,671.00,4099.00,5866.00,NA,6318.00,2344.00,NA,8.00,12769.00,NA,NA,11988.00,29627.00,604.00,1901.00,64323.00,11174.00,NA,0.00,2168.00,2590.00,15932.00,14144.00,NA,14144.00,16312.00,4420.00,1901.00,13185.00,49582.00,NA,NA,316.00,4322.00,8075.00,NA,2028.00,14741.00,64323.00,NA,1264.23
AZN,2015-12-31,As of,6240.00,613.00,6853.00,6622.00,NA,7009.00,2143.00,NA,2.00,16007.00,NA,NA,11868.00,22646.00,543.00,1740.00,60124.00,11663.00,NA,0.00,916.00,2290.00,14869.00,14137.00,NA,14137.00,15053.00,2733.00,19.00,9876.00,41634.00,NA,NA,316.00,4304.00,12435.00,NA,1435.00,18490.00,60124.00,NA,1264.12
AZN,2015-09-30,As of,4081.00,496.00,4577.00,5876.00,NA,6399.00,2193.00,NA,30.00,13199.00,NA,NA,11430.00,19997.00,492.00,1870.00,54118.00,10593.00,NA,0.00,2671.00,2772.00,16036.00,8236.00,40.00,8276.00,10947.00,1559.00,19.00,10879.00,36769.00,NA,NA,316.00,4291.00,10707.00,NA,2035.00,17349.00,54118.00,NA,1263.82
AZN,2015-12-31,As of,NA,5603.00,6853.00,4633.00,NA,5591.00,2143.00,1418.00,2.00,16007.00,13848.00,-7435.00,11868.00,22646.00,543.00,1740.00,60124.00,3469.00,3190.00,189.00,727.00,7294.00,14869.00,14109.00,28.00,14137.00,15053.00,2733.00,19.00,9876.00,41634.00,NA,NA,316.00,4304.00,12435.00,NA,1435.00,18490.00,60124.00,NA,1264.12
AZN,2014-12-31,As of,NA,6146.00,7155.00,4762.00,NA,6163.00,1960.00,1398.00,21.00,16697.00,13744.00,-7734.00,11550.00,20981.00,561.00,2590.00,58595.00,3492.00,3432.00,196.00,2250.00,7960.00,17330.00,8337.00,60.00,8397.00,10843.00,1796.00,19.00,11426.00,38968.00,NA,NA,316.00,4261.00,13630.00,NA,1420.00,19627.00,58595.00,NA,1263.14
AZN,2013-12-31,As of,NA,8919.00,10013.00,5514.00,NA,6802.00,1909.00,1571.00,40.00,20335.00,14907.00,-9089.00,9981.00,16047.00,281.00,1570.00,55899.00,5352.00,3813.00,222.00,1566.00,5098.00,16051.00,8516.00,72.00,8588.00,10376.00,2827.00,29.00,5180.00,32675.00,NA,NA,315.00,3983.00,17546.00,NA,1380.00,23224.00,55899.00,NA,1257.17
AZN,2012-12-31,As of,NA,7220.00,8524.00,5696.00,NA,7334.00,2061.00,1098.00,31.00,19048.00,15071.00,-8982.00,9898.00,16448.00,199.00,1500.00,53534.00,4935.00,3431.00,105.00,796.00,4636.00,13903.00,9347.00,62.00,9409.00,10310.00,2576.00,215.00,3700.00,29803.00,NA,NA,312.00,3504.00,18541.00,NA,1374.00,23731.00,53534.00,NA,1246.78
AXTI,2016-09-30,As of,29.66,9.56,39.22,18.38,NA,18.38,38.73,5.26,NA,101.60,80.21,-50.83,NA,NA,18.62,1.58,152.93,7.28,4.24,0.00,NA,0.77,12.29,NA,NA,0.00,0.00,NA,4.86,1.03,18.17,NA,3.53,0.03,195.86,-67.20,NA,2.53,134.76,152.93,NA,32.56
AXTI,2016-06-30,As of,26.11,10.46,36.58,18.04,NA,18.04,38.62,5.10,NA,98.34,79.94,-49.76,NA,NA,19.49,1.69,151.43,7.85,4.69,0.00,NA,0.68,13.22,NA,NA,0.00,0.00,NA,4.91,1.17,19.29,NA,3.53,0.03,195.16,-69.43,NA,2.84,132.14,151.43,NA,32.39
AXTI,2016-03-31,As of,25.07,9.05,34.12,19.71,NA,19.71,38.82,4.39,NA,97.04,NA,NA,NA,NA,20.91,1.84,152.73,8.03,4.43,0.00,NA,0.92,13.39,NA,NA,0.00,0.00,NA,5.47,1.31,20.18,NA,3.53,0.03,194.90,-70.58,NA,4.67,132.55,152.73,NA,32.34
AXTI,2015-12-31,As of,24.88,11.44,36.31,18.47,NA,18.47,38.01,4.10,NA,96.89,79.94,-48.52,NA,NA,19.79,2.01,151.90,6.46,5.62,0.00,NA,0.76,12.84,NA,NA,0.00,0.00,NA,5.59,1.49,19.93,NA,3.53,0.03,194.65,-70.62,NA,4.38,131.97,151.90,NA,32.55
AXTI,2015-09-30,As of,26.18,8.55,34.74,17.11,NA,17.11,38.09,3.62,NA,93.55,NA,NA,NA,NA,23.21,2.22,153.15,5.96,4.80,0.00,NA,0.71,11.47,NA,NA,0.00,0.00,NA,6.30,1.64,19.41,NA,3.53,0.03,194.38,-69.38,NA,5.17,133.73,153.15,NA,32.39
AXTI,2015-12-31,As of,24.88,11.44,36.31,18.47,NA,18.47,38.01,4.10,NA,96.89,79.94,-48.52,NA,NA,19.79,2.01,151.90,6.46,5.62,0.00,NA,0.76,12.84,NA,NA,0.00,0.00,NA,5.59,1.49,19.93,NA,3.53,0.03,194.65,-70.62,NA,4.38,131.97,151.90,NA,32.55
AXTI,2014-12-31,As of,28.81,12.34,41.15,17.86,NA,18.04,38.57,5.43,NA,103.19,79.36,-45.49,NA,NA,20.08,2.67,161.52,7.14,6.95,0.00,NA,0.68,14.77,NA,NA,0.00,0.00,NA,6.42,2.06,23.25,NA,3.53,0.03,195.42,-68.39,NA,7.67,138.26,161.52,NA,32.84
