symbol,date,period,CashEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivableTradeNet,ReceivablesOther,TotalReceivablesNet,TotalInventory,PrepaidExpenses,OtherCurrentAssetsTotal,TotalCurrentAssets,PropertyPlantEquipmentTotalGross,AccumulatedDepreciationTotal,GoodwillNet,IntangiblesNet,LongTermInvestments,OtherLongTermAssetsTotal,TotalAssets,AccountsPayable,AccruedExpenses,NotesPayableShortTermDebt,CurrentPortofLTDebtCapitalLeases,OtherCurrentliabilitiesTotal,TotalCurrentLiabilities,LongTermDebt,CapitalLeaseObligations,TotalLongTermDebt,TotalDebt,DeferredIncomeTax,MinorityInterest,OtherLiabilitiesTotal,TotalLiabilities,RedeemablePreferredStockTotal,PreferredStockNonRedeemableNet,CommonStockTotal,AdditionalPaidInCapital,RetainedEarningsAccumulatedDeficit,TreasuryStockCommon,OtherEquityTotal,TotalEquity,TotalLiabilitiesShareholdersEquity,SharesOutsCommonStockPrimaryIssue,TotalCommonSharesOutstanding
CLBH,2015-12-31,As of,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700.80,NA,NA,NA,NA,NA,NA,19.61,NA,19.61,19.66,NA,NA,10.01,639.66,NA,0.00,5.02,29.23,28.00,NA,-1.12,61.14,700.80,NA,5.02
CLBH,2014-12-31,As of,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.19,-7.88,NA,NA,NA,4.57,679.26,NA,NA,NA,NA,NA,NA,19.61,NA,19.61,19.79,NA,NA,9.14,626.61,NA,10.99,3.44,16.34,22.21,NA,-0.33,52.66,679.26,NA,3.43
CLBH,2013-12-31,As of,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.66,-7.40,NA,NA,NA,NA,661.81,NA,NA,NA,NA,NA,NA,19.61,NA,19.61,22.64,NA,NA,7.58,612.20,NA,10.99,3.43,16.23,19.68,NA,-0.73,49.60,661.81,NA,3.43
CLBH,2012-12-31,As of,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.30,-6.56,NA,NA,NA,NA,691.87,NA,NA,NA,NA,NA,NA,19.56,NA,19.56,21.51,NA,NA,9.59,638.01,NA,15.57,3.39,15.91,18.30,NA,0.70,53.86,691.87,NA,3.39
CLBS,2016-09-30,As of,18.61,NA,18.61,4.27,NA,4.27,NA,2.77,4.32,29.96,NA,NA,7.01,2.45,NA,0.73,57.28,3.25,6.37,0.00,3.07,5.87,18.55,22.96,NA,22.96,26.02,1.08,-0.76,4.70,46.53,NA,NA,0.01,410.28,-398.83,-0.71,0.00,10.75,57.28,NA,8.17
CLBS,2016-06-30,As of,17.70,NA,17.70,2.89,NA,2.89,NA,3.51,5.15,29.25,NA,NA,7.01,2.59,NA,0.81,56.71,2.90,6.20,0.00,6.02,7.23,22.36,23.36,NA,23.36,29.39,1.03,-0.41,4.32,50.66,NA,NA,0.01,398.70,-391.95,-0.71,0.00,6.05,56.71,NA,5.92
CLBS,2016-03-31,As of,25.43,NA,25.43,2.61,NA,2.61,NA,3.59,3.99,35.62,NA,NA,7.01,2.74,NA,0.89,63.18,3.98,6.32,1.36,1.16,5.64,18.46,27.34,NA,27.34,29.86,0.99,-0.48,3.21,49.52,NA,NA,0.06,398.42,-384.11,-0.71,0.00,13.66,63.18,NA,5.90
CLBS,2015-12-31,As of,20.32,0.00,20.32,2.57,NA,2.57,NA,3.48,2.91,29.27,24.61,-7.54,7.01,2.88,NA,0.98,57.21,4.11,6.20,0.00,5.36,5.35,21.02,11.41,NA,11.41,16.78,0.93,-0.43,0.56,33.49,NA,NA,0.06,396.50,-372.13,-0.71,0.00,23.71,57.21,NA,5.66
CLBS,2015-09-30,As of,24.04,5.35,29.39,2.30,NA,2.30,NA,3.44,3.35,38.48,NA,NA,25.21,37.71,NA,1.21,119.70,2.47,8.01,0.00,3.76,5.50,19.74,13.06,NA,13.06,16.83,14.57,-0.43,17.34,64.27,NA,NA,0.06,395.01,-338.94,-0.71,0.00,55.43,119.70,NA,5.55
CLBS,2015-12-31,As of,20.32,0.00,20.32,2.57,NA,2.57,2.91,3.48,NA,29.27,24.61,-7.54,7.01,2.88,NA,0.98,57.21,4.11,6.20,0.00,5.36,5.35,21.02,11.41,NA,11.41,16.78,0.93,-0.43,0.56,33.49,NA,NA,0.06,396.50,-372.13,-0.71,0.00,23.71,57.21,NA,5.66
CLBS,2014-12-31,As of,19.17,7.08,26.25,3.11,NA,3.11,2.57,4.35,NA,36.28,21.39,-5.43,25.21,47.56,NA,1.26,126.28,5.66,4.32,0.00,1.93,4.33,16.24,14.72,NA,14.72,16.64,18.18,-0.44,19.06,67.76,NA,NA,0.04,350.43,-291.25,-0.71,0.00,58.51,126.28,NA,3.68
CLBS,2013-12-31,As of,46.13,NA,46.13,1.86,NA,1.86,1.27,1.56,NA,50.83,15.87,-3.02,11.12,13.88,NA,1.15,89.82,3.35,4.02,0.21,0.38,1.84,9.81,3.55,NA,3.55,4.15,4.38,-0.52,10.05,27.27,NA,0.00,0.03,299.59,-236.37,-0.71,NA,62.54,89.82,NA,2.72
