symbol,date,period,NetIncomeStartingLine,DepreciationDepletion,Amortization,DeferredTaxes,NonCashItems,ChangesinWorkingCapital,CashfromOperatingActivities,CapitalExpenditures,OtherInvestingCashFlowItemsTotal,CashfromInvestingActivities,FinancingCashFlowItems,TotalCashDividendsPaid,IssuanceRetirementofStockNet,IssuanceRetirementofDebtNet,CashfromFinancingActivities,ForeignExchangeEffects,NetChangeinCash,CashInterestPaidSupplemental,CashTaxesPaidSupplemental
AZZ,2014-02-28,12 months ending,59.60,43.30,NA,0.84,-3.03,6.56,107.28,-43.47,-267.50,-310.97,-4.28,-14.29,0.00,194.90,176.33,-0.67,-28.03,16.50,26.33
AZZ,2013-02-28,12 months ending,60.46,29.36,NA,3.37,-4.39,3.95,92.74,-24.92,-125.22,-150.14,1.18,-13.42,0.02,-18.14,-30.36,0.06,-87.70,13.11,30.97
BA,2016-09-30,9 months ending,3264.00,1364.00,NA,NA,429.00,2610.00,7667.00,-2014.00,50.00,-1964.00,-107.00,-2084.00,-6309.00,487.00,-8013.00,-6.00,-2316.00,NA,NA
BA,2016-06-30,6 months ending,985.00,890.00,NA,NA,293.00,2297.00,4465.00,-1419.00,69.00,-1350.00,-103.00,-1408.00,-5354.00,1056.00,-5809.00,-3.00,-2697.00,NA,NA
BA,2016-03-31,3 months ending,1219.00,443.00,NA,NA,118.00,-549.00,1231.00,-748.00,310.00,-438.00,-32.00,-717.00,-3459.00,-13.00,-4221.00,12.00,-3416.00,NA,NA
BA,2015-12-31,12 months ending,5176.00,1833.00,NA,NA,559.00,1795.00,9363.00,-2450.00,604.00,-1846.00,61.00,-2490.00,-6352.00,861.00,-7920.00,-28.00,-431.00,488.00,1490.00
BA,2015-12-31,12 months ending,5176.00,1833.00,NA,NA,559.00,1795.00,9363.00,-2450.00,604.00,-1846.00,61.00,-2490.00,-6352.00,861.00,-7920.00,-28.00,-431.00,488.00,1490.00
BA,2014-12-31,12 months ending,5446.00,1906.00,NA,NA,609.00,897.00,8858.00,-2236.00,4703.00,2467.00,-181.00,-2115.00,-5658.00,-639.00,-8593.00,-87.00,2645.00,511.00,355.00
BA,2013-12-31,12 months ending,4585.00,1844.00,NA,NA,672.00,1078.00,8179.00,-2098.00,-3056.00,-5154.00,-215.00,-1467.00,-1704.00,-863.00,-4249.00,-29.00,-1253.00,551.00,209.00
BA,2012-12-31,12 months ending,3900.00,1811.00,NA,NA,917.00,880.00,7508.00,-1703.00,-2054.00,-3757.00,-259.00,-1322.00,120.00,-2016.00,-3477.00,18.00,292.00,614.00,410.00
BABA,2016-09-30,6 months ending,NA,NA,NA,NA,NA,32164.00,32164.00,NA,-67183.00,-67183.00,31142.00,NA,NA,NA,31142.00,743.00,-3134.00,NA,NA
BABA,2016-06-30,3 months ending,NA,NA,NA,NA,NA,14958.00,14958.00,NA,-61468.00,-61468.00,21312.00,NA,NA,NA,21312.00,626.00,-24572.00,NA,NA
BAC,2016-09-30,9 months ending,13210.00,1138.00,554.00,5072.00,3308.00,3380.00,26662.00,NA,-63000.00,-63000.00,39537.00,-3031.00,-835.00,-17846.00,17825.00,2594.00,-15919.00,NA,NA
BABA,2016-03-31,12 months ending,NA,NA,NA,NA,NA,56836.00,56836.00,NA,-42831.00,-42831.00,-15846.00,NA,NA,NA,-15846.00,466.00,-1375.00,NA,NA
BAC,2016-06-30,6 months ending,6912.00,755.00,373.00,2218.00,4630.00,11248.00,26136.00,NA,-30490.00,-30490.00,22568.00,-1853.00,564.00,-7314.00,13965.00,2243.00,11854.00,NA,NA
BABA,2015-12-31,9 months ending,NA,NA,NA,NA,NA,51754.00,51754.00,NA,-35438.00,-35438.00,-14856.00,NA,NA,NA,-14856.00,648.00,2108.00,NA,NA
BAC,2016-03-31,3 months ending,2680.00,379.00,187.00,1218.00,2640.00,3739.00,10843.00,NA,-21374.00,-21374.00,34648.00,-974.00,1069.00,-5361.00,29382.00,1406.00,20257.00,NA,NA
BAC,2015-12-31,12 months ending,15888.00,1555.00,834.00,3108.00,3105.00,3240.00,27730.00,NA,-54954.00,-54954.00,51338.00,-3574.00,590.00,231.00,48585.00,-597.00,20764.00,10623.00,2326.00
BAC,2015-12-31,12 months ending,15888.00,1555.00,834.00,3108.00,3105.00,3240.00,27730.00,NA,-54954.00,-54954.00,51338.00,-3574.00,590.00,231.00,48585.00,-597.00,20764.00,10623.00,2326.00
BAC,2014-12-31,12 months ending,4833.00,1586.00,936.00,726.00,2281.00,19773.00,30135.00,NA,-7600.00,-7600.00,2826.00,-2306.00,4282.00,-17003.00,-12201.00,-3067.00,7267.00,11082.00,2558.00
BABA,2016-03-31,12 months ending,71289.0,3770.0,2931.0,1226.0,-30172.0,7792.0,56836.0,-10845.0,-31986.0,-42831.0,778.0,0.0,-19102.0,2478.0,-15846.0,466.0,-1375.0,1560.0,6465.0
BAC,2013-12-31,12 months ending,11431.0,1597.0,1086.0,3262.0,2226.0,73215.0,92817.0,-521.0,25579.0,25058.0,-81157.0,-1677.0,-8673.0,-3935.0,-95442.0,-1863.0,20570.0,12912.0,1315.0
BAC,2012-12-31,12 months ending,4188.00,1774.00,1264.00,-2735.00,7687.00,-28234.00,-16056.00,NA,-34979.00,-34979.00,150864.00,-1909.00,667.00,-107206.00,42416.00,-731.00,-9350.00,18268.00,1034.00
BABA,2015-03-31,12 months ending,24320.0,2326.0,2089.0,1659.0,8969.0,1854.0,41217.0,-7705.0,-45749.0,-53454.0,119.0,-104.0,61438.0,26044.0,87497.0,-112.0,75148.0,956.0,3458.0
BABA,2014-03-31,12 months ending,23403.0,1339.0,315.0,1466.0,4349.0,-4493.0,26379.0,-4776.0,-28221.0,-32997.0,-9.0,-208.0,-3208.0,12789.0,9364.0,-97.0,2649.0,1220.0,722.0
BABA,2013-03-31,12 months ending,8649.0,805.0,130.0,104.0,1652.0,3136.0,14476.0,-2503.0,3048.0,545.0,-15458.0,-103.0,-12777.0,26932.0,-1406.0,-76.0,13539.0,912.0,1469.0
BABY,2016-09-30,9 months ending,32.36,12.82,NA,0.04,11.15,12.13,68.50,-2.39,-41.28,-43.66,-5.75,NA,-15.71,0.00,-21.46,-4.77,-1.40,0.04,8.02
BABY,2016-06-30,6 months ending,19.05,8.40,NA,-0.06,8.04,-2.43,32.99,-2.34,-6.15,-8.49,-3.86,NA,-14.55,10.00,-8.41,-2.28,13.81,0.01,7.75
BABY,2016-03-31,3 months ending,8.54,4.22,NA,0.11,4.20,2.32,19.38,-1.92,-5.65,-7.57,-3.30,NA,-8.44,0.00,-11.74,-1.26,-1.18,0.01,3.95
BABY,2015-12-31,12 months ending,37.92,15.99,NA,1.54,12.07,-30.67,36.85,-5.19,-14.28,-19.48,2.10,NA,-1.27,0.00,0.83,-2.29,15.91,0.00,10.16
BABY,2015-12-31,12 months ending,37.92,15.99,NA,1.54,12.07,-30.67,36.85,-5.19,-14.28,-19.48,2.10,NA,-1.27,0.00,0.83,-2.29,15.91,0.00,10.16
BABY,2014-12-31,12 months ending,32.48,11.76,NA,3.24,4.61,-9.94,42.14,-5.72,-4.92,-10.64,5.53,NA,11.58,-38.02,-20.91,-0.13,10.45,0.43,5.67
BABY,2013-12-31,12 months ending,23.15,12.85,NA,1.50,6.98,-7.68,36.80,-3.70,-18.60,-22.30,3.11,NA,8.98,5.16,17.25,1.30,33.05,1.31,12.91
BABY,2012-12-31,12 months ending,3.82,12.62,NA,-8.21,10.55,0.62,19.39,-7.34,-55.12,-62.46,-0.38,NA,1.86,31.94,33.42,-0.10,-9.76,0.49,6.94
BANC,2016-06-30,6 months ending,46.22,5.66,2.64,1.46,-115.28,-176.68,-235.98,-15.46,-1405.06,-1420.52,1622.65,-19.14,253.35,-84.75,1772.11,NA,115.61,26.46,36.40
BANC,2016-03-31,3 months ending,19.69,2.83,1.32,-0.10,-48.46,-170.79,-195.51,-6.20,-982.85,-989.05,1055.20,-7.54,195.79,NA,1243.45,NA,58.89,16.31,1.60
BANC,2015-12-31,12 months ending,62.07,9.15,5.84,7.28,-194.17,64.58,-45.24,-83.26,-2173.29,-2256.55,1969.44,-26.40,111.37,172.30,2226.72,NA,-75.08,44.81,33.43
BANC,2015-12-31,12 months ending,62.07,9.15,5.84,7.28,-194.17,64.58,-45.24,-83.26,-2173.29,-2256.55,1969.44,-26.40,111.37,172.30,2226.72,NA,-75.08,44.81,33.43
BANC,2014-12-31,12 months ending,30.20,6.83,4.08,-17.16,-125.92,-525.56,-627.52,-11.66,-451.49,-463.15,1121.70,-14.32,104.37,0.00,1211.75,NA,121.08,32.59,9.86
BANC,2013-12-31,12 months ending,-0.08,4.28,2.65,7.57,-93.31,-356.60,-435.49,-54.97,-1248.52,-1303.48,1648.10,-8.92,101.27,0.00,1740.45,NA,1.48,23.28,0.00
BANC,2012-12-31,12 months ending,6.00,1.71,0.70,0.10,-32.21,-9.26,-32.97,-6.15,-131.73,-137.88,86.32,-6.01,-2.09,156.80,235.01,NA,64.17,7.61,0.00
BAK,2016-09-30,9 months ending,2633.79,1966.76,NA,NA,2061.39,-2640.30,4021.64,-2023.12,33.93,-1989.19,NA,-998.99,0.00,-799.65,-1798.64,526.64,760.45,1093.88,847.01
BAK,2016-06-30,6 months ending,1484.45,1255.69,NA,NA,977.66,-2537.01,1180.80,-1485.87,38.47,-1447.40,NA,-998.98,0.00,-2.28,-1001.26,568.78,-699.09,686.25,668.13
BAK,2016-03-31,3 months ending,997.83,582.82,NA,NA,404.54,-1229.97,755.21,-755.63,0.10,-755.54,NA,0.00,0.00,-154.03,-154.03,238.27,83.92,259.04,94.66
