symbol,date,period,NetIncomeStartingLine,DepreciationDepletion,Amortization,DeferredTaxes,NonCashItems,ChangesinWorkingCapital,CashfromOperatingActivities,CapitalExpenditures,OtherInvestingCashFlowItemsTotal,CashfromInvestingActivities,FinancingCashFlowItems,TotalCashDividendsPaid,IssuanceRetirementofStockNet,IssuanceRetirementofDebtNet,CashfromFinancingActivities,ForeignExchangeEffects,NetChangeinCash,CashInterestPaidSupplemental,CashTaxesPaidSupplemental
BGCP,2016-03-31,3 months ending,16.29,19.47,NA,-2.76,53.04,-288.11,-202.08,-14.83,339.59,324.76,-27.88,-37.98,-62.68,-1.70,-130.24,2.46,-5.09,17.28,29.65
BGCP,2015-12-31,12 months ending,268.32,82.00,NA,60.02,-111.41,-86.06,212.86,-56.97,-42.30,-99.27,-108.67,-131.36,-11.41,-40.48,-291.93,-8.74,-187.07,59.28,43.66
BGCP,2015-12-31,12 months ending,268.32,82.00,NA,60.02,-111.41,-86.06,212.86,-56.97,-42.30,-99.27,-108.67,-131.36,-11.41,-40.48,-291.93,-8.74,-187.07,59.28,43.66
BGCP,2014-12-31,12 months ending,-3.84,44.75,NA,-26.18,140.35,28.47,183.54,-26.97,-167.28,-194.26,153.76,-105.13,-100.27,-1.60,-53.24,-4.69,-68.64,32.10,87.93
BGCP,2013-12-31,12 months ending,173.75,47.15,NA,-81.99,61.30,-33.85,166.37,-38.98,565.74,526.75,-208.17,-91.39,-15.53,-48.25,-363.34,-1.27,328.51,33.17,152.10
BGCP,2012-12-31,12 months ending,35.51,50.98,NA,-11.55,142.61,-46.36,171.20,-51.37,-16.61,-67.98,0.65,-90.59,12.33,-7.39,-85.01,0.49,18.70,27.19,20.29
BGFV,2016-10-02,39 weeks ending,9.19,14.29,NA,1.73,1.86,27.96,55.04,-10.21,NA,-10.21,-0.56,-8.23,-1.56,-36.11,-46.46,NA,-1.64,1.07,0.56
BGFV,2016-07-03,26 weeks ending,1.00,9.32,NA,1.85,1.30,2.92,16.40,-6.81,NA,-6.81,-0.56,-5.54,-0.03,-2.44,-8.56,NA,1.03,0.83,0.56
BGFV,2016-04-03,13 weeks ending,-1.12,4.69,NA,2.56,0.63,2.88,9.64,-3.16,NA,-3.16,-0.56,-2.82,-0.03,-3.74,-7.15,NA,-0.67,0.45,0.42
BGFV,2016-01-03,53 weeks ending,15.30,21.41,NA,0.41,2.47,0.06,39.65,-24.57,0.00,-24.57,-0.55,-8.81,-4.03,-6.07,-19.46,NA,-4.38,1.69,8.33
BGFV,2016-01-03,53 weeks ending,15.30,21.41,NA,0.41,2.47,0.06,39.65,-24.57,0.00,-24.57,-0.55,-8.81,-4.03,-6.07,-19.46,NA,-4.38,1.69,8.33
BGFV,2014-12-28,52 weeks ending,14.88,21.50,NA,1.75,3.07,-12.66,28.54,-22.57,0.10,-22.46,-0.61,-8.89,-2.41,7.94,-3.97,NA,2.10,1.50,9.99
BGFV,2013-12-29,52 weeks ending,27.95,20.19,NA,-0.86,0.47,-21.46,26.29,-22.04,0.00,-22.04,0.93,-8.79,4.51,0.86,-2.49,NA,1.76,1.48,18.60
BGFV,2012-12-30,52 weeks ending,14.91,18.89,NA,-3.05,1.97,6.88,39.60,-12.90,0.25,-12.65,-0.06,-6.47,-2.03,-15.66,-24.22,NA,2.73,2.00,9.77
BGG,2016-10-02,13 weeks ending,-14.15,14.29,NA,3.50,1.18,-81.31,-76.50,-15.76,3.40,-12.37,-0.81,NA,-7.54,50.17,41.83,0.16,-46.88,NA,NA
BGG,2016-07-03,52 weeks ending,26.56,54.40,NA,2.19,41.51,-12.85,111.82,-64.16,-21.68,-85.84,-0.93,-23.62,-25.05,-1.85,-51.45,-3.09,-28.55,NA,NA
BGG,2016-03-27,39 weeks ending,21.21,40.58,NA,3.66,15.37,-86.17,-5.36,-41.09,-21.93,-63.02,-0.93,-11.88,-22.23,30.59,-4.45,-1.84,-74.67,NA,NA
BGG,2015-12-27,26 weeks ending,-5.61,26.86,NA,2.44,6.31,-128.63,-98.64,-25.84,-1.18,-27.02,NA,-5.99,-17.67,93.24,69.58,-1.95,-58.02,NA,NA
BGG,2015-09-27,13 weeks ending,-18.17,13.40,NA,3.84,1.19,-82.95,-82.69,-12.43,-1.66,-14.09,NA,NA,-4.75,38.41,33.66,-1.28,-64.39,NA,NA
BGG,2016-07-03,52 weeks ending,26.56,54.40,NA,2.19,41.51,-12.85,111.82,-64.16,-21.68,-85.84,-0.93,-23.62,-25.05,-1.85,-51.45,-3.09,-28.55,18.80,5.98
BGG,2015-06-28,52 weeks ending,45.69,52.26,NA,7.65,15.07,27.43,148.10,-71.71,-86.28,-157.99,0.00,-22.56,-41.92,0.00,-64.48,-1.91,-76.28,18.54,4.12
BGG,2014-06-29,52 weeks ending,28.35,50.34,NA,-5.40,18.14,35.65,127.08,-60.37,0.63,-59.74,-0.95,-22.70,-37.65,-0.30,-61.59,0.48,6.22,17.50,12.57
BGG,2013-06-30,52 weeks ending,-33.66,55.75,NA,-27.91,81.40,85.23,160.81,-44.88,-47.13,-92.01,0.00,-23.29,-10.37,-2.70,-36.36,-0.07,32.37,17.34,1.17
BGNE,2016-09-30,9 months ending,-81.62,1.44,NA,NA,9.39,7.42,-63.37,-15.44,-35.69,-51.13,NA,NA,170.05,12.16,182.21,-0.04,67.66,0.51,0.03
BGNE,2016-06-30,6 months ending,-46.12,0.93,NA,NA,6.45,-0.35,-39.10,-8.76,-86.45,-95.20,0.00,NA,170.05,4.52,174.57,-0.05,40.22,0.24,0.03
BGNE,2016-03-31,3 months ending,-22.00,0.44,NA,NA,4.93,-3.21,-19.84,-3.30,43.65,40.34,NA,NA,170.05,NA,170.05,0.09,190.64,0.11,0.03
BGNE,2015-12-31,12 months ending,-57.10,1.54,NA,NA,13.45,2.26,-39.84,-5.31,-53.59,-58.91,-0.07,NA,97.43,5.85,103.20,-0.48,3.97,0.13,0.00
BGNE,2015-12-31,12 months ending,-57.10,1.54,NA,NA,13.45,2.26,-39.84,-5.31,-53.59,-58.91,-0.07,NA,97.43,5.85,103.20,-0.48,3.97,0.13,0.00
BGNE,2014-12-31,12 months ending,-18.55,1.56,NA,NA,9.83,-1.54,-8.69,-0.65,-32.99,-33.64,-1.26,NA,35.58,17.85,52.16,0.14,9.97,0.03,0.00
BGNE,2013-12-31,12 months ending,-7.89,1.59,NA,NA,2.63,7.75,4.07,-0.26,0.01,-0.25,-0.48,NA,0.00,0.00,-0.48,-0.04,3.30,0.33,0.00
BGS,2016-10-01,39 weeks ending,95.86,26.81,NA,45.55,17.25,7.31,192.78,-24.81,0.00,-24.81,-1.07,-72.92,331.88,-190.00,67.90,-0.53,235.33,44.39,15.41
BGS,2016-07-02,26 weeks ending,63.45,18.16,NA,35.67,14.59,68.81,200.67,-13.18,NA,-13.18,-1.07,-46.60,152.02,-190.00,-85.65,0.48,102.32,35.65,11.35
BGS,2016-04-02,13 weeks ending,33.20,9.00,NA,9.85,5.06,66.74,123.85,-5.12,NA,-5.12,-1.07,-20.29,152.03,-190.00,-59.33,0.54,59.93,10.26,2.56
BGS,2016-01-02,52 weeks ending,69.09,28.65,NA,29.15,3.12,-1.54,128.48,-18.57,-873.81,-892.38,-15.76,-76.53,126.23,733.50,767.44,0.22,3.76,47.23,9.40
BGS,2016-01-02,52 weeks ending,69.09,28.65,NA,29.15,3.12,-1.54,128.48,-18.57,-873.81,-892.38,-15.76,-76.53,126.23,733.50,767.44,0.22,3.76,47.23,9.40
BGS,2015-01-03,53 weeks ending,40.96,27.43,NA,13.86,40.35,-23.47,99.13,-19.02,-154.28,-173.30,-10.51,-72.37,NA,154.50,71.62,-0.06,-2.62,42.64,13.62
BGS,2013-12-28,52 weeks ending,52.34,24.08,NA,20.80,35.90,-18.21,114.91,-14.65,-247.28,-261.93,-15.19,-62.82,0.00,209.85,131.83,0.08,-15.11,43.94,2.72
BGS,2012-12-29,52 weeks ending,59.26,18.85,NA,15.29,11.35,-4.23,100.53,-10.64,-62.67,-73.30,-3.17,-50.16,120.36,-91.77,-24.74,0.00,2.48,53.89,10.06
BH,2016-09-30,39 weeks ending,28.55,17.27,NA,-3.81,6.95,6.99,55.96,-6.79,-17.07,-23.86,NA,NA,0.00,-13.25,-13.24,0.03,18.88,NA,NA
BH,2016-06-30,26 weeks ending,88.68,11.40,NA,43.84,-119.23,16.39,41.08,-4.34,-15.67,-20.01,NA,NA,0.00,-11.25,-11.25,0.03,9.84,NA,NA
BH,2016-03-31,13 weeks ending,51.16,6.05,NA,26.31,-73.54,7.28,17.25,-2.86,-10.63,-13.49,NA,NA,0.00,-3.76,-3.76,0.05,0.06,NA,NA
BH,2015-12-31,52 weeks ending,-15.84,24.78,NA,-26.48,62.78,7.26,52.50,-11.08,-102.22,-113.30,0.00,NA,0.22,-12.53,-12.31,-0.04,-73.15,NA,NA
BH,2015-12-31,52 weeks ending,-15.84,24.78,NA,-26.48,62.78,7.26,52.50,-11.08,-102.22,-113.30,0.00,NA,0.22,-12.53,-12.31,-0.04,-73.15,NA,NA
BH,2014-12-31,66 weeks ending,119.85,31.73,NA,62.07,-172.97,-7.47,33.22,-84.77,-83.50,-168.28,81.12,NA,0.03,88.97,170.12,-0.02,35.04,NA,NA
BH,2013-09-25,52 weeks ending,142.17,25.25,NA,72.03,-201.30,0.64,38.79,-17.94,-42.83,-60.77,74.37,NA,0.01,-18.04,56.34,-0.10,34.27,NA,NA
BH,2012-09-26,52 weeks ending,24.75,26.42,NA,-2.73,5.79,-4.26,49.97,-8.68,-79.21,-87.89,-0.29,NA,0.02,-0.44,-0.71,NA,-38.63,NA,NA
BHBK,2016-09-30,9 months ending,4.66,1.45,NA,-0.98,4.51,3.69,13.32,-2.79,-179.57,-182.36,247.61,-1.95,-21.61,-51.30,172.75,NA,3.70,8.98,3.44
BHBK,2016-06-30,6 months ending,3.02,0.95,NA,-0.58,3.12,-3.73,2.79,-1.07,-96.79,-97.87,167.06,-1.23,-15.85,-45.00,104.98,NA,9.90,5.82,2.52
BHBK,2016-03-31,3 months ending,1.67,0.48,NA,0.60,1.66,-2.23,2.17,-0.56,-37.84,-38.40,50.76,-0.49,-10.31,-5.00,34.95,NA,-1.29,2.80,0.07
BHBK,2015-12-31,12 months ending,7.23,1.82,NA,-0.30,3.03,-5.22,6.55,-3.05,-421.89,-424.94,221.13,-1.03,-13.56,185.00,391.54,NA,-26.85,8.70,4.28
BHBK,2015-12-31,12 months ending,7.23,1.82,NA,-0.30,3.03,-5.22,6.55,-3.05,-421.89,-424.94,221.13,-1.03,-13.56,185.00,391.54,NA,-26.85,8.70,4.28
BHBK,2014-12-31,12 months ending,-0.18,1.48,NA,-3.56,6.92,11.47,16.12,-2.02,-109.37,-111.39,0.12,-0.44,255.42,-140.00,115.10,NA,19.83,NA,0.26
BHBK,2013-12-31,12 months ending,2.66,1.45,NA,-1.42,-2.30,15.91,16.31,-1.05,-206.16,-207.21,97.35,-0.53,0.00,60.58,157.39,NA,-33.50,NA,3.29
BHBK,2012-12-31,12 months ending,7.85,1.23,NA,-0.69,-0.62,-6.78,1.00,-0.93,-188.25,-189.18,61.40,-1.15,0.00,114.42,174.67,NA,-13.51,NA,4.28
BHACU,2016-06-30,6 months ending,-0.19,NA,NA,NA,-0.03,0.07,-0.15,NA,0.00,0.00,0.00,NA,0.00,0.00,0.00,NA,-0.15,NA,NA
BHACU,2016-03-31,3 months ending,-0.15,NA,NA,NA,-0.02,0.07,-0.09,NA,0.00,0.00,0.00,NA,0.00,0.00,0.00,NA,-0.09,NA,NA
BHACU,2015-12-31,12 months ending,-0.47,NA,NA,NA,0.00,0.11,-0.37,NA,-43.64,-43.64,-0.33,NA,44.59,-0.12,44.15,NA,0.14,NA,NA
BHACU,2015-12-31,12 months ending,-0.47,NA,NA,NA,0.00,0.11,-0.37,NA,-43.64,-43.64,-0.33,NA,44.59,-0.12,44.15,NA,0.14,NA,NA
BHACU,2014-12-31,12 months ending,0.00,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,-0.08,NA,0.03,0.12,0.06,NA,0.06,NA,NA
BHE,2016-09-30,9 months ending,45.48,31.62,10.38,2.58,4.00,133.97,228.03,-25.40,10.96,-14.44,0.30,NA,-35.32,-9.22,-44.24,0.34,169.69,NA,NA
BHE,2016-06-30,6 months ending,23.74,21.16,6.74,2.65,3.84,99.47,157.60,-16.20,0.30,-15.90,0.12,NA,-28.49,-6.15,-34.52,0.07,107.25,NA,NA
BHE,2016-03-31,3 months ending,11.05,10.62,3.29,0.63,1.99,48.93,76.51,-7.84,0.19,-7.64,0.15,NA,-13.44,-3.08,-16.37,0.68,53.17,2.73,2.12
BHE,2015-12-31,12 months ending,95.40,42.82,6.85,-12.78,8.34,6.17,146.80,-38.06,-228.74,-266.80,-3.30,NA,-66.39,229.32,159.64,-1.02,38.62,2.47,8.56
BHE,2015-12-31,12 months ending,95.40,42.82,6.85,-12.78,8.34,6.17,146.80,-38.06,-228.74,-266.80,-3.30,NA,-66.39,229.32,159.64,-1.02,38.62,2.47,8.56
BHE,2014-12-31,12 months ending,81.24,41.26,5.19,12.03,4.42,-8.70,135.44,-45.39,17.91,-27.48,0.63,NA,-24.93,-0.58,-24.88,-1.26,81.82,1.72,5.82
BHE,2013-12-31,12 months ending,111.16,36.18,4.76,-5.79,0.29,-47.53,99.08,-28.74,-79.98,-108.72,0.35,NA,-29.96,-0.50,-30.11,0.72,-39.02,1.76,0.06
BHE,2012-12-31,12 months ending,56.61,31.76,3.96,9.06,5.96,43.80,151.15,-49.03,39.54,-9.49,-0.85,NA,-42.45,-0.42,-43.72,2.73,100.66,1.35,11.97
BHI,2016-09-30,9 months ending,-2323.00,921.00,NA,292.00,3991.00,716.00,3597.00,-226.00,198.00,-28.00,17.00,-221.00,-763.00,-1192.00,-2159.00,2.00,1412.00,183.00,239.00
BHI,2016-06-30,6 months ending,-1893.00,659.00,NA,238.00,3817.00,657.00,3478.00,-156.00,67.00,-89.00,14.00,-148.00,-500.00,-1171.00,-1805.00,2.00,1586.00,129.00,213.00
BHI,2016-03-31,3 months ending,-981.00,354.00,NA,359.00,163.00,6.00,-99.00,-86.00,147.00,61.00,-16.00,-74.00,NA,-5.00,-95.00,1.00,-132.00,70.00,85.00
BHI,2015-12-31,12 months ending,-1974.00,1742.00,NA,-809.00,1592.00,1245.00,1796.00,-965.00,60.00,-905.00,-56.00,-297.00,116.00,-45.00,-282.00,-25.00,584.00,242.00,483.00
BHI,2015-12-31,12 months ending,-1974.00,1742.00,NA,-809.00,1592.00,1245.00,1796.00,-965.00,60.00,-905.00,-56.00,-297.00,116.00,-45.00,-282.00,-25.00,584.00,242.00,483.00
BHI,2014-12-31,12 months ending,1731.00,1814.00,NA,-70.00,-73.00,-449.00,2953.00,-1791.00,132.00,-1659.00,-28.00,-279.00,-384.00,-248.00,-939.00,-14.00,341.00,250.00,-881.00
BHI,2013-12-31,12 months ending,1103.00,1698.00,NA,1.00,-85.00,444.00,3161.00,-2085.00,422.00,-1663.00,-16.00,-267.00,-249.00,-571.00,-1103.00,-11.00,384.00,247.00,651.00
BHI,2012-12-31,12 months ending,1317.00,1568.00,NA,-114.00,48.00,-984.00,1835.00,-2910.00,389.00,-2521.00,-19.00,-263.00,81.00,847.00,646.00,5.00,-35.00,241.00,941.00
BHLB,2016-09-30,9 months ending,48.34,6.23,2.35,NA,-2.67,5.25,59.50,-4.31,-107.11,-111.42,36.19,-18.68,0.14,NA,17.65,NA,-34.28,12.17,10.99
BHLB,2016-06-30,6 months ending,31.96,4.24,1.61,NA,-2.66,-5.47,29.68,-2.84,-199.22,-202.06,155.80,-12.44,0.04,NA,143.39,NA,-28.98,7.50,7.28
BHLB,2016-03-31,3 months ending,16.00,2.15,0.82,NA,-0.68,-8.99,9.31,-2.38,31.71,29.33,-67.19,-6.22,0.03,NA,-73.38,NA,-34.74,3.51,-0.37
BHLB,2015-12-31,12 months ending,49.52,8.59,3.56,NA,8.08,16.53,86.29,-7.34,-447.15,-454.49,422.23,-21.90,-0.31,NA,400.01,NA,31.81,9.97,0.43
BHLB,2015-12-31,12 months ending,49.52,8.59,3.56,NA,8.08,16.53,86.29,-7.34,-447.15,-454.49,422.23,-21.90,-0.31,NA,400.01,NA,31.81,9.97,0.43
BHLB,2014-12-31,12 months ending,33.74,8.29,4.81,NA,-2.15,11.12,55.82,-8.45,-360.85,-369.30,329.17,-18.07,-1.40,NA,309.70,NA,-3.79,9.99,0.75
BHLB,2013-12-31,12 months ending,41.14,7.12,5.27,NA,-24.80,98.69,127.41,-13.10,-502.09,-515.19,392.40,-18.12,-9.20,NA,365.08,NA,-22.70,14.06,-3.73
BHLB,2012-12-31,12 months ending,33.19,6.04,5.34,NA,-8.18,-7.74,28.65,-18.89,-236.63,-255.52,187.78,-15.63,3.04,74.14,249.33,NA,22.46,NA,8.87
BHP,2016-06-30,12 months ending,-7259.00,8661.00,NA,NA,11062.00,-1839.00,10625.00,-7711.00,466.00,-7245.00,-87.00,-4130.00,-106.00,4607.00,284.00,-1.00,3663.00,830.00,1645.00
BHP,2015-12-31,6 months ending,-7459.00,4602.00,NA,NA,8913.00,-796.00,5260.00,-4370.00,332.00,-4038.00,-69.00,-3266.00,-69.00,6142.00,2738.00,9.00,3969.00,342.00,923.00
BHP,2015-06-30,12 months ending,8056.00,9158.00,NA,NA,6095.00,-4013.00,19296.00,-12861.00,-293.00,-13154.00,-704.00,-6498.00,-346.00,-728.00,-8276.00,-5.00,-2139.00,627.00,4025.00
BHP,2014-12-31,6 months ending,7696.00,4401.00,NA,NA,1644.00,-3318.00,10423.00,-6834.00,517.00,-6317.00,-603.00,-3209.00,-335.00,-2612.00,-6759.00,19.00,-2634.00,310.00,2545.00
BHP,2016-06-30,12 months ending,-7259.00,8661.00,NA,NA,11062.00,-1839.00,10625.00,-7711.00,466.00,-7245.00,-87.00,-4130.00,-106.00,4607.00,284.00,-1.00,3663.00,830.00,1645.00
BHP,2015-06-30,12 months ending,8056.00,9158.00,NA,NA,6095.00,-4013.00,19296.00,-12861.00,-293.00,-13154.00,-704.00,-6498.00,-346.00,-728.00,-8276.00,-5.00,-2139.00,627.00,4025.00
BHP,2014-06-30,12 months ending,21735.00,7716.00,NA,NA,1475.00,-5562.00,25364.00,-16402.00,568.00,-15834.00,1284.00,-6387.00,-354.00,-1011.00,-6468.00,23.00,3085.00,915.00,6147.00
BHP,2013-06-30,12 months ending,20828.00,6067.00,NA,NA,1355.00,-8096.00,20154.00,-22805.00,4079.00,-18726.00,-853.00,-6167.00,-433.00,7255.00,-198.00,-17.00,1213.00,960.00,7877.00
BIDU,2015-12-31,12 months ending,32432.25,2886.25,2974.66,2260.74,-25368.94,4237.48,19422.44,-7774.46,-23497.99,-31272.44,50.78,NA,-2623.86,10351.12,7778.03,179.18,-3892.79,867.04,2763.12
BIDU,2014-12-31,12 months ending,12253.23,2223.91,1748.39,-693.45,-844.03,3249.13,17937.17,-6395.21,-16072.56,-22467.77,-1095.54,NA,2039.67,7667.83,8611.96,79.57,4160.93,592.76,2798.04
BIDU,2013-12-31,12 months ending,10387.78,1702.14,949.85,330.64,-544.74,967.31,13792.97,-3680.99,-19381.95,-23062.94,-299.28,NA,1553.59,6027.37,7281.68,-200.55,-2188.84,302.06,1656.51
BIDU,2012-12-31,12 months ending,10391.28,1281.34,234.00,-59.03,-632.56,780.97,11995.99,-2566.38,-11182.70,-13749.08,-38.12,NA,157.43,9398.55,9517.86,-11.63,7753.15,38.03,1641.85
BID,2016-09-30,9 months ending,8.61,16.21,NA,-16.94,16.70,-124.43,-99.85,-16.48,-12.98,-29.45,-9.54,-1.74,-286.08,6.07,-291.29,-22.25,-442.85,NA,NA
BID,2016-06-30,6 months ending,63.08,10.79,NA,5.86,13.30,-140.14,-47.11,-10.64,13.59,2.95,-7.43,-1.74,-282.16,-21.61,-312.95,-16.29,-373.39,NA,NA
BID,2016-03-31,3 months ending,-25.88,5.30,NA,-16.39,9.15,-275.42,-303.24,-3.91,52.97,49.06,-4.59,-1.74,-147.59,-22.32,-176.23,-4.27,-434.68,NA,NA
BID,2015-12-31,12 months ending,43.73,19.48,NA,103.83,52.34,-64.32,155.06,-11.34,-5.36,-16.70,-17.56,-29.78,-125.00,198.06,25.72,-9.21,154.87,NA,NA
BID,2015-12-31,12 months ending,43.73,19.48,NA,103.83,52.34,-64.32,155.06,-11.34,-5.36,-16.70,-17.56,-29.78,-125.00,198.06,25.72,-9.21,154.87,53.50,53.90
BID,2014-12-31,12 months ending,117.80,20.57,NA,16.00,41.24,-151.35,44.27,-10.87,-117.69,-128.56,-13.62,-331.54,-24.03,441.39,72.20,-15.39,-27.49,42.40,60.30
BID,2013-12-31,12 months ending,130.01,19.43,NA,16.14,36.31,35.53,237.43,-23.47,-67.63,-91.10,-7.56,-13.75,4.05,-185.03,-202.29,8.93,-47.03,33.20,36.20
BID,2012-12-31,12 months ending,108.29,17.94,NA,-5.76,48.74,-234.60,-65.38,-19.69,-201.03,-220.72,-14.87,-35.22,0.97,202.93,153.80,10.01,-122.29,34.90,61.40
BIG,2016-07-30,26 weeks ending,61.37,54.59,NA,-12.65,16.73,-8.54,111.50,-45.25,0.22,-45.03,1.13,-19.88,-236.85,193.35,-62.24,NA,4.22,1.78,101.05
BIG,2016-04-30,13 weeks ending,38.66,26.79,NA,-7.98,7.82,13.32,78.61,-18.82,0.07,-18.75,0.76,-10.60,-130.16,90.39,-49.61,NA,10.25,0.42,34.58
BIG,2016-01-30,52 weeks ending,142.87,108.05,NA,-0.62,13.35,78.69,342.35,-125.99,12.80,-113.19,1.85,-38.53,-185.58,-5.01,-227.28,0.00,1.88,3.20,56.16
BIG,2015-10-31,39 weeks ending,48.34,81.18,NA,-11.03,5.44,-71.61,52.32,-111.02,12.72,-98.30,1.35,-29.20,-185.60,268.71,55.26,0.00,9.28,2.16,55.67
BIG,2016-01-30,52 weeks ending,142.87,108.05,NA,-0.62,13.35,78.69,342.35,-125.99,12.80,-113.19,1.85,-38.53,-185.58,-5.01,-227.28,0.00,1.88,3.20,56.16
BIG,2015-01-31,52 weeks ending,114.28,105.85,NA,22.63,17.24,58.57,318.56,-93.46,2.71,-90.75,3.84,-27.83,-208.06,-17.27,-249.32,5.14,-16.37,1.92,69.92
BIG,2014-02-01,52 weeks ending,125.30,102.20,NA,-32.14,34.49,-31.51,198.33,-104.79,7.29,-97.50,0.32,NA,4.67,-96.18,-91.20,-1.59,8.05,2.69,122.67
BIG,2013-02-02,53 weeks ending,177.12,95.60,NA,12.48,14.96,-19.03,281.13,-131.27,0.92,-130.36,8.50,NA,-270.75,103.98,-158.27,-0.47,-7.97,3.37,95.60
BIIB,2016-09-30,9 months ending,3047.80,505.30,NA,-56.80,151.20,-701.70,2945.80,-544.40,-1358.70,-1903.10,49.80,NA,-313.70,-2.70,-266.60,0.70,776.80,NA,NA
BIIB,2016-06-30,6 months ending,2017.60,325.10,NA,-30.20,103.90,-457.20,1959.20,-263.70,-1675.60,-1939.30,10.10,NA,23.90,NA,34.00,0.10,54.00,NA,NA
BIIB,2016-03-31,3 months ending,969.20,149.70,NA,8.90,25.10,-189.50,963.40,-126.90,-1076.30,-1203.20,32.90,NA,14.50,NA,47.40,15.10,-177.30,NA,NA
BIIB,2015-12-31,12 months ending,3593.20,600.40,NA,-145.60,243.60,-575.50,3716.10,-643.00,-3910.60,-4553.60,3.80,NA,-4945.80,5928.40,986.40,-45.80,103.10,39.10,1674.80
BIIB,2015-12-31,12 months ending,3593.20,600.40,NA,-145.60,243.60,-575.50,3716.10,-643.00,-3910.60,-4553.60,3.80,NA,-4945.80,5928.40,986.40,-45.80,103.10,39.10,1674.80
BIIB,2014-12-31,12 months ending,2941.57,688.15,NA,-308.22,104.98,-484.36,2942.11,-287.75,-1255.22,-1542.98,78.69,NA,-831.89,-2.67,-755.87,-40.90,602.36,41.20,1163.20
BIIB,2013-12-31,12 months ending,1862.34,531.74,NA,-245.08,108.68,87.39,2345.08,-3509.00,1904.33,-1604.67,69.35,NA,-333.54,-452.34,-716.53,7.96,31.84,53.60,643.20
BIIB,2012-12-31,12 months ending,1380.03,365.65,NA,-116.90,147.39,103.73,1879.90,-261.18,-689.16,-950.34,42.17,NA,-917.22,-2.43,-877.48,4.10,56.18,65.40,-526.60
BIO,2016-09-30,9 months ending,NA,NA,NA,NA,NA,4.83,121.31,-96.33,-67.43,-163.76,-2.41,NA,8.83,-0.23,6.19,-3.36,-39.61,-11.20,-37.37
BIO,2016-06-30,6 months ending,NA,NA,NA,NA,NA,7.14,69.71,-56.87,-53.46,-110.33,-3.42,NA,6.88,-0.16,3.29,-1.57,-38.90,-10.91,-11.09
BIO,2016-03-31,3 months ending,NA,NA,NA,NA,NA,-1.46,-7.45,-25.30,-25.56,-50.86,-3.43,NA,3.77,-0.08,0.26,4.11,-53.93,NA,10.42
BIO,2015-12-31,12 months ending,NA,NA,NA,NA,NA,12.70,186.21,-113.37,-53.50,-166.87,0.63,NA,8.24,-0.28,8.58,16.38,44.30,-20.79,-31.71
BIO,2015-12-31,12 months ending,NA,NA,NA,NA,NA,12.70,186.21,-113.37,-53.50,-166.87,0.63,NA,8.24,-0.28,8.58,16.38,44.30,-20.79,-31.71
BIO,2014-12-31,12 months ending,NA,NA,NA,NA,NA,-32.95,273.31,-136.48,-54.03,-190.51,-1.55,NA,15.05,-1.81,11.69,-12.79,81.70,-20.79,-28.94
BIO,2013-12-31,12 months ending,NA,NA,NA,NA,NA,15.51,175.48,-113.70,108.28,-5.42,-22.75,NA,11.24,-300.18,-311.70,9.80,-131.84,-61.23,-71.14
BIO,2012-12-31,12 months ending,NA,NA,NA,NA,NA,7.23,276.03,-154.20,-255.74,-409.93,2.89,NA,10.51,-0.81,12.59,10.47,-110.84,-46.37,-93.70
BIOA,2016-09-30,9 months ending,-16.32,3.60,NA,NA,-6.85,-13.53,-33.10,-0.54,NA,-0.54,-0.26,NA,29.64,12.85,42.23,0.38,8.97,NA,NA
BIOA,2016-06-30,6 months ending,-9.60,2.39,NA,NA,-5.95,-12.51,-25.67,-0.36,0.00,-0.36,-0.57,NA,29.59,-4.84,24.17,0.43,-1.43,NA,NA
BIOA,2016-03-31,3 months ending,-12.54,1.15,NA,NA,4.00,-12.90,-20.28,-0.03,0.00,-0.03,-0.20,NA,29.59,-2.38,27.00,0.39,7.09,NA,NA
BIOA,2015-12-31,12 months ending,-41.17,1.08,NA,NA,5.26,2.63,-32.20,-64.39,-0.41,-64.80,6.80,NA,42.18,5.91,54.89,-1.96,-44.07,NA,NA
BIOA,2015-12-31,12 months ending,-41.17,1.08,NA,NA,5.26,2.63,-32.20,-64.39,-0.41,-64.80,6.80,NA,42.18,5.91,54.89,-1.96,-44.07,NA,NA
BIOA,2014-12-31,12 months ending,-47.35,0.26,NA,NA,13.95,10.68,-22.45,-85.01,0.00,-85.02,9.05,NA,60.86,8.74,78.65,-3.87,-32.69,NA,NA
BIOA,2013-12-31,12 months ending,-27.93,1.16,NA,NA,-0.39,-0.38,-27.52,-12.79,0.00,-12.79,0.21,NA,73.02,26.69,99.92,-0.95,58.66,NA,NA
BIOA,2012-12-31,12 months ending,-39.54,2.12,NA,0.06,10.85,-5.76,-32.28,-6.63,-1.00,-7.63,4.46,NA,9.98,2.24,16.67,0.35,-22.88,NA,NA
BIOC,2016-09-30,9 months ending,-14.21,0.25,NA,NA,1.18,1.52,-11.26,-0.39,0.00,-0.39,-0.09,NA,4.80,-1.21,3.51,NA,-8.14,0.28,NA
BIOC,2016-06-30,6 months ending,-9.47,0.16,NA,NA,0.69,0.32,-8.29,-0.32,NA,-0.32,-0.05,NA,4.66,-1.06,3.55,NA,-5.07,0.19,0.00
